Season,team,opp,result
2005,1452,1403,1
2005,1246,1428,1
2005,1277,1181,1
2005,1314,1437,1
2005,1458,1301,1
2005,1228,1112,1
2005,1257,1452,1
2005,1277,1246,1
2005,1314,1458,1
2005,1228,1257,1
2005,1314,1277,1
2005,1314,1228,1
2006,1284,1214,1
2006,1104,1266,1
2006,1130,1334,1
2006,1181,1380,1
2006,1196,1375,1
2006,1203,1423,1
2006,1211,1462,1
2006,1228,1102,1
2006,1231,1361,1
2006,1261,1233,1
2006,1285,1305,1
2006,1397,1457,1
2006,1401,1393,1
2006,1417,1125,1
2006,1449,1429,1
2006,1454,1328,1
2006,1455,1371,1
2006,1112,1458,1
2006,1133,1242,1
2006,1137,1116,1
2006,1163,1107,1
2006,1206,1277,1
2006,1207,1320,1
2006,1246,1412,1
2006,1272,1331,1
2006,1301,1143,1
2006,1314,1293,1
2006,1322,1234,1
2006,1326,1172,1
2006,1338,1245,1
2006,1400,1335,1
2006,1437,1284,1
2006,1452,1356,1
2006,1130,1285,1
2006,1181,1203,1
2006,1196,1454,1
2006,1211,1231,1
2006,1261,1401,1
2006,1417,1104,1
2006,1449,1228,1
2006,1455,1397,1
2006,1133,1338,1
2006,1163,1246,1
2006,1206,1314,1
2006,1207,1326,1
2006,1272,1137,1
2006,1400,1301,1
2006,1437,1112,1
2006,1452,1322,1
2006,1261,1181,1
2006,1272,1133,1
2006,1400,1452,1
2006,1417,1211,1
2006,1163,1449,1
2006,1196,1207,1
2006,1206,1455,1
2006,1437,1130,1
2006,1261,1400,1
2006,1417,1272,1
2006,1196,1437,1
2006,1206,1163,1
2006,1196,1206,1
2006,1417,1261,1
2006,1196,1417,1
2007,1310,1197,1
2007,1130,1403,1
2007,1139,1330,1
2007,1207,1125,1
2007,1231,1211,1
2007,1257,1390,1
2007,1268,1172,1
2007,1277,1266,1
2007,1314,1184,1
2007,1326,1148,1
2007,1338,1460,1
2007,1401,1335,1
2007,1417,1451,1
2007,1433,1181,1
2007,1435,1203,1
2007,1450,1331,1
2007,1462,1140,1
2007,1196,1238,1
2007,1242,1310,1
2007,1246,1437,1
2007,1272,1317,1
2007,1305,1166,1
2007,1332,1275,1
2007,1345,1112,1
2007,1356,1221,1
2007,1397,1253,1
2007,1400,1308,1
2007,1424,1210,1
2007,1425,1116,1
2007,1438,1107,1
2007,1439,1228,1
2007,1457,1323,1
2007,1458,1394,1
2007,1139,1268,1
2007,1207,1130,1
2007,1314,1277,1
2007,1326,1462,1
2007,1338,1433,1
2007,1401,1257,1
2007,1417,1231,1
2007,1435,1450,1
2007,1196,1345,1
2007,1242,1246,1
2007,1272,1305,1
2007,1332,1457,1
2007,1356,1439,1
2007,1397,1438,1
2007,1424,1458,1
2007,1425,1400,1
2007,1242,1356,1
2007,1272,1401,1
2007,1326,1397,1
2007,1417,1338,1
2007,1196,1139,1
2007,1207,1435,1
2007,1314,1425,1
2007,1332,1424,1
2007,1326,1272,1
2007,1417,1242,1
2007,1196,1332,1
2007,1207,1314,1
2007,1196,1417,1
2007,1326,1207,1
2007,1196,1326,1
2008,1291,1164,1
2008,1181,1125,1
2008,1242,1340,1
2008,1243,1425,1
2008,1266,1246,1
2008,1277,1396,1
2008,1323,1206,1
2008,1338,1331,1
2008,1345,1124,1
2008,1390,1165,1
2008,1401,1140,1
2008,1417,1290,1
2008,1424,1245,1
2008,1450,1457,1
2008,1452,1112,1
2008,1458,1168,1
2008,1462,1208,1
2008,1116,1231,1
2008,1139,1375,1
2008,1172,1211,1
2008,1207,1420,1
2008,1257,1129,1
2008,1272,1426,1
2008,1274,1388,1
2008,1280,1332,1
2008,1314,1291,1
2008,1328,1386,1
2008,1360,1163,1
2008,1373,1435,1
2008,1397,1110,1
2008,1400,1122,1
2008,1437,1155,1
2008,1443,1179,1
2008,1242,1424,1
2008,1277,1338,1
2008,1390,1266,1
2008,1417,1401,1
2008,1450,1323,1
2008,1452,1181,1
2008,1458,1243,1
2008,1462,1345,1
2008,1172,1207,1
2008,1257,1328,1
2008,1272,1280,1
2008,1314,1116,1
2008,1397,1139,1
2008,1400,1274,1
2008,1437,1373,1
2008,1443,1360,1
2008,1257,1397,1
2008,1314,1450,1
2008,1417,1443,1
2008,1462,1452,1
2008,1172,1458,1
2008,1242,1437,1
2008,1272,1277,1
2008,1400,1390,1
2008,1314,1257,1
2008,1417,1462,1
2008,1242,1172,1
2008,1272,1400,1
2008,1242,1314,1
2008,1272,1417,1
2008,1242,1272,1
2009,1287,1106,1
2009,1163,1151,1
2009,1181,1127,1
2009,1211,1103,1
2009,1261,1139,1
2009,1268,1143,1
2009,1272,1169,1
2009,1276,1155,1
2009,1314,1347,1
2009,1328,1288,1
2009,1345,1320,1
2009,1400,1278,1
2009,1401,1140,1
2009,1417,1433,1
2009,1437,1110,1
2009,1443,1228,1
2009,1449,1280,1
2009,1112,1428,1
2009,1113,1396,1
2009,1156,1448,1
2009,1173,1452,1
2009,1242,1295,1
2009,1257,1287,1
2009,1266,1429,1
2009,1277,1352,1
2009,1281,1165,1
2009,1329,1397,1
2009,1338,1190,1
2009,1373,1326,1
2009,1393,1372,1
2009,1425,1130,1
2009,1458,1199,1
2009,1462,1340,1
2009,1163,1401,1
2009,1181,1400,1
2009,1211,1443,1
2009,1272,1268,1
2009,1314,1261,1
2009,1328,1276,1
2009,1345,1449,1
2009,1437,1417,1
2009,1112,1156,1
2009,1242,1173,1
2009,1257,1373,1
2009,1277,1425,1
2009,1281,1266,1
2009,1338,1329,1
2009,1393,1113,1
2009,1462,1458,1
2009,1163,1345,1
2009,1281,1272,1
2009,1338,1462,1
2009,1437,1181,1
2009,1257,1112,1
2009,1277,1242,1
2009,1314,1211,1
2009,1328,1393,1
2009,1163,1281,1
2009,1437,1338,1
2009,1277,1257,1
2009,1314,1328,1
2009,1277,1163,1
2009,1314,1437,1
2009,1314,1277,1
2010,1115,1457,1
2010,1124,1358,1
2010,1139,1431,1
2010,1140,1196,1
2010,1242,1250,1
2010,1243,1317,1
2010,1246,1190,1
2010,1293,1435,1
2010,1307,1285,1
2010,1320,1424,1
2010,1325,1207,1
2010,1330,1323,1
2010,1388,1350,1
2010,1397,1361,1
2010,1437,1352,1
2010,1448,1400,1
2010,1449,1266,1
2010,1143,1257,1
2010,1165,1396,1
2010,1181,1115,1
2010,1210,1329,1
2010,1211,1199,1
2010,1268,1222,1
2010,1277,1308,1
2010,1281,1155,1
2010,1326,1364,1
2010,1338,1324,1
2010,1345,1373,1
2010,1393,1436,1
2010,1401,1429,1
2010,1452,1288,1
2010,1458,1459,1
2010,1462,1278,1
2010,1124,1330,1
2010,1139,1293,1
2010,1243,1140,1
2010,1246,1448,1
2010,1320,1242,1
2010,1388,1437,1
2010,1397,1325,1
2010,1449,1307,1
2010,1165,1458,1
2010,1181,1143,1
2010,1277,1268,1
2010,1326,1210,1
2010,1345,1401,1
2010,1393,1211,1
2010,1452,1281,1
2010,1462,1338,1
2010,1139,1393,1
2010,1243,1462,1
2010,1246,1165,1
2010,1452,1449,1
2010,1124,1388,1
2010,1181,1345,1
2010,1277,1320,1
2010,1397,1326,1
2010,1139,1243,1
2010,1452,1246,1
2010,1181,1124,1
2010,1277,1397,1
2010,1139,1277,1
2010,1181,1452,1
2010,1181,1139,1
2011,1155,1412,1
2011,1421,1114,1
2011,1427,1106,1
2011,1433,1425,1
2011,1139,1330,1
2011,1140,1459,1
2011,1153,1281,1
2011,1163,1137,1
2011,1196,1364,1
2011,1211,1385,1
2011,1243,1429,1
2011,1246,1343,1
2011,1287,1257,1
2011,1338,1421,1
2011,1350,1435,1
2011,1361,1294,1
2011,1396,1336,1
2011,1417,1277,1
2011,1452,1155,1
2011,1458,1125,1
2011,1112,1272,1
2011,1181,1214,1
2011,1199,1401,1
2011,1206,1437,1
2011,1228,1424,1
2011,1242,1131,1
2011,1266,1462,1
2011,1276,1397,1
2011,1314,1254,1
2011,1323,1103,1
2011,1326,1427,1
2011,1345,1389,1
2011,1393,1232,1
2011,1400,1324,1
2011,1433,1207,1
2011,1449,1208,1
2011,1139,1338,1
2011,1140,1211,1
2011,1163,1153,1
2011,1196,1417,1
2011,1246,1452,1
2011,1350,1287,1
2011,1361,1396,1
2011,1458,1243,1
2011,1112,1400,1
2011,1181,1276,1
2011,1199,1323,1
2011,1242,1228,1
2011,1266,1393,1
2011,1314,1449,1
2011,1326,1206,1
2011,1433,1345,1
2011,1112,1181,1
2011,1139,1458,1
2011,1163,1361,1
2011,1196,1140,1
2011,1242,1350,1
2011,1246,1326,1
2011,1314,1266,1
2011,1433,1199,1
2011,1139,1196,1
2011,1163,1112,1
2011,1246,1314,1
2011,1433,1242,1
2011,1139,1433,1
2011,1163,1246,1
2011,1163,1139,1
2012,1140,1233,1
2012,1443,1290,1
2012,1378,1143,1
2012,1436,1249,1
2012,1124,1355,1
2012,1160,1424,1
2012,1211,1452,1
2012,1231,1308,1
2012,1235,1163,1
2012,1243,1379,1
2012,1246,1443,1
2012,1257,1172,1
2012,1266,1140,1
2012,1293,1161,1
2012,1307,1253,1
2012,1326,1259,1
2012,1393,1421,1
2012,1433,1455,1
2012,1435,1217,1
2012,1458,1285,1
2012,1153,1400,1
2012,1166,1104,1
2012,1196,1438,1
2012,1199,1382,1
2012,1207,1125,1
2012,1242,1178,1
2012,1250,1181,1
2012,1277,1254,1
2012,1301,1361,1
2012,1313,1281,1
2012,1314,1436,1
2012,1325,1276,1
2012,1345,1388,1
2012,1378,1396,1
2012,1387,1272,1
2012,1462,1323,1
2012,1124,1160,1
2012,1231,1433,1
2012,1246,1235,1
2012,1257,1307,1
2012,1266,1293,1
2012,1326,1211,1
2012,1393,1243,1
2012,1458,1435,1
2012,1153,1199,1
2012,1196,1313,1
2012,1242,1345,1
2012,1277,1387,1
2012,1301,1207,1
2012,1314,1166,1
2012,1325,1378,1
2012,1462,1250,1
2012,1196,1266,1
2012,1257,1277,1
2012,1326,1153,1
2012,1393,1458,1
2012,1124,1462,1
2012,1242,1301,1
2012,1246,1231,1
2012,1314,1325,1
2012,1257,1196,1
2012,1326,1393,1
2012,1242,1314,1
2012,1246,1124,1
2012,1242,1326,1
2012,1246,1257,1
2012,1246,1242,1
2013,1299,1251,1
2013,1388,1292,1
2013,1241,1254,1
2013,1247,1129,1
2013,1112,1125,1
2013,1139,1137,1
2013,1143,1424,1
2013,1161,1281,1
2013,1211,1380,1
2013,1217,1307,1
2013,1257,1299,1
2013,1266,1172,1
2013,1272,1388,1
2013,1276,1355,1
2013,1277,1434,1
2013,1332,1329,1
2013,1387,1308,1
2013,1393,1285,1
2013,1433,1103,1
2013,1455,1338,1
2013,1166,1153,1
2013,1181,1107,1
2013,1195,1207,1
2013,1196,1322,1
2013,1228,1160,1
2013,1231,1241,1
2013,1235,1323,1
2013,1242,1443,1
2013,1247,1243,1
2013,1274,1334,1
2013,1278,1417,1
2013,1279,1458,1
2013,1314,1437,1
2013,1326,1233,1
2013,1361,1328,1
2013,1396,1301,1
2013,1112,1217,1
2013,1257,1161,1
2013,1266,1139,1
2013,1276,1433,1
2013,1277,1272,1
2013,1332,1387,1
2013,1393,1143,1
2013,1455,1211,1
2013,1181,1166,1
2013,1195,1361,1
2013,1196,1278,1
2013,1231,1396,1
2013,1242,1314,1
2013,1247,1279,1
2013,1274,1228,1
2013,1326,1235,1
2013,1266,1274,1
2013,1326,1112,1
2013,1393,1231,1
2013,1455,1247,1
2013,1181,1277,1
2013,1196,1195,1
2013,1257,1332,1
2013,1276,1242,1
2013,1393,1266,1
2013,1455,1326,1
2013,1257,1181,1
2013,1276,1196,1
2013,1257,1455,1
2013,1276,1393,1
2013,1257,1276,1
2014,1107,1291,1
2014,1301,1462,1
2014,1142,1411,1
2014,1397,1234,1
2014,1163,1386,1
2014,1173,1326,1
2014,1196,1107,1
2014,1217,1153,1
2014,1257,1264,1
2014,1276,1459,1
2014,1277,1174,1
2014,1295,1328,1
2014,1332,1140,1
2014,1338,1160,1
2014,1361,1308,1
2014,1387,1301,1
2014,1393,1444,1
2014,1400,1113,1
2014,1437,1454,1
2014,1458,1110,1
2014,1112,1451,1
2014,1124,1304,1
2014,1166,1418,1
2014,1211,1329,1
2014,1235,1300,1
2014,1242,1184,1
2014,1246,1243,1
2014,1272,1203,1
2014,1273,1181,1
2014,1314,1344,1
2014,1372,1433,1
2014,1390,1307,1
2014,1397,1269,1
2014,1417,1409,1
2014,1438,1157,1
2014,1455,1142,1
2014,1163,1437,1
2014,1173,1393,1
2014,1196,1338,1
2014,1257,1387,1
2014,1276,1400,1
2014,1277,1217,1
2014,1361,1295,1
2014,1458,1332,1
2014,1112,1211,1
2014,1124,1166,1
2014,1235,1314,1
2014,1246,1455,1
2014,1390,1242,1
2014,1397,1273,1
2014,1417,1372,1
2014,1438,1272,1
2014,1112,1361,1
2014,1173,1390,1
2014,1196,1417,1
2014,1458,1124,1
2014,1163,1235,1
2014,1246,1257,1
2014,1276,1397,1
2014,1277,1438,1
2014,1196,1173,1
2014,1458,1112,1
2014,1163,1277,1
2014,1246,1276,1
2014,1163,1196,1
2014,1246,1458,1
2014,1163,1246,1
2015,1214,1264,1
2015,1279,1140,1
2015,1173,1129,1
2015,1352,1316,1
2015,1112,1411,1
2015,1116,1459,1
2015,1139,1400,1
2015,1153,1345,1
2015,1207,1186,1
2015,1209,1124,1
2015,1246,1214,1
2015,1301,1261,1
2015,1314,1217,1
2015,1323,1318,1
2015,1326,1433,1
2015,1412,1235,1
2015,1417,1374,1
2015,1428,1372,1
2015,1437,1248,1
2015,1462,1279,1
2015,1173,1344,1
2015,1181,1352,1
2015,1211,1295,1
2015,1234,1172,1
2015,1242,1308,1
2015,1257,1414,1
2015,1268,1434,1
2015,1277,1208,1
2015,1320,1461,1
2015,1328,1107,1
2015,1332,1329,1
2015,1361,1385,1
2015,1438,1125,1
2015,1452,1138,1
2015,1455,1231,1
2015,1458,1157,1
2015,1112,1326,1
2015,1246,1153,1
2015,1301,1437,1
2015,1314,1116,1
2015,1323,1139,1
2015,1417,1412,1
2015,1428,1207,1
2015,1462,1209,1
2015,1181,1361,1
2015,1211,1234,1
2015,1257,1320,1
2015,1277,1438,1
2015,1328,1173,1
2015,1452,1268,1
2015,1455,1242,1
2015,1458,1332,1
2015,1112,1462,1
2015,1246,1452,1
2015,1323,1455,1
2015,1458,1314,1
2015,1181,1428,1
2015,1211,1417,1
2015,1257,1301,1
2015,1277,1328,1
2015,1246,1323,1
2015,1458,1112,1
2015,1181,1211,1
2015,1277,1257,1
2015,1181,1277,1
2015,1458,1246,1
2015,1181,1458,1
2016,1195,1192,1
2016,1455,1435,1
2016,1221,1380,1
2016,1276,1409,1
2016,1114,1345,1
2016,1139,1403,1
2016,1163,1160,1
2016,1181,1423,1
2016,1211,1371,1
2016,1231,1151,1
2016,1235,1233,1
2016,1242,1122,1
2016,1246,1392,1
2016,1274,1138,1
2016,1314,1195,1
2016,1344,1425,1
2016,1428,1201,1
2016,1438,1214,1
2016,1455,1112,1
2016,1463,1124,1
2016,1218,1143,1
2016,1234,1396,1
2016,1268,1355,1
2016,1292,1277,1
2016,1320,1400,1
2016,1323,1276,1
2016,1328,1167,1
2016,1332,1221,1
2016,1372,1452,1
2016,1386,1153,1
2016,1393,1173,1
2016,1401,1453,1
2016,1433,1333,1
2016,1437,1421,1
2016,1458,1338,1
2016,1462,1451,1
2016,1181,1463,1
2016,1211,1428,1
2016,1231,1246,1
2016,1235,1114,1
2016,1242,1163,1
2016,1274,1455,1
2016,1314,1344,1
2016,1438,1139,1
2016,1268,1218,1
2016,1323,1372,1
2016,1328,1433,1
2016,1332,1386,1
2016,1393,1292,1
2016,1401,1320,1
2016,1437,1234,1
2016,1458,1462,1
2016,1242,1268,1
2016,1328,1401,1
2016,1332,1181,1
2016,1437,1274,1
2016,1314,1231,1
2016,1323,1458,1
2016,1393,1211,1
2016,1438,1235,1
2016,1328,1332,1
2016,1437,1242,1
2016,1314,1323,1
2016,1393,1438,1
2016,1314,1393,1
2016,1437,1328,1
2016,1437,1314,1
2003,1411,1421,0
2003,1436,1112,0
2003,1272,1113,0
2003,1166,1141,0
2003,1301,1143,0
2003,1140,1163,0
2003,1161,1181,0
2003,1153,1211,0
2003,1443,1228,0
2003,1429,1242,0
2003,1221,1266,0
2003,1356,1281,0
2003,1454,1323,0
2003,1354,1328,0
2003,1360,1390,0
2003,1173,1409,0
2003,1451,1458,0
2003,1386,1120,0
2003,1280,1139,0
2003,1358,1196,0
2003,1104,1231,0
2003,1237,1246,0
2003,1122,1257,0
2003,1423,1268,0
2003,1160,1277,0
2003,1335,1329,0
2003,1447,1338,0
2003,1261,1345,0
2003,1264,1393,0
2003,1421,1400,0
2003,1332,1428,0
2003,1190,1448,0
2003,1407,1462,0
2003,1211,1112,0
2003,1390,1163,0
2003,1141,1181,0
2003,1113,1242,0
2003,1281,1266,0
2003,1228,1323,0
2003,1143,1328,0
2003,1409,1458,0
2003,1448,1120,0
2003,1257,1139,0
2003,1428,1246,0
2003,1462,1268,0
2003,1196,1277,0
2003,1231,1338,0
2003,1329,1393,0
2003,1345,1400,0
2003,1323,1112,0
2003,1181,1242,0
2003,1458,1246,0
2003,1338,1266,0
2003,1268,1277,0
2003,1139,1328,0
2003,1120,1393,0
2003,1163,1400,0
2003,1112,1242,0
2003,1246,1266,0
2003,1328,1393,0
2003,1277,1400,0
2003,1266,1242,0
2003,1400,1393,0
2003,1242,1393,0
2004,1250,1197,0
2004,1356,1104,0
2004,1436,1163,0
2004,1173,1177,0
2004,1106,1181,0
2004,1434,1211,0
2004,1196,1264,0
2004,1431,1268,0
2004,1277,1305,0
2004,1102,1314,0
2004,1112,1371,0
2004,1251,1386,0
2004,1427,1390,0
2004,1140,1393,0
2004,1343,1400,0
2004,1150,1403,0
2004,1433,1448,0
2004,1428,1130,0
2004,1190,1153,0
2004,1320,1210,0
2004,1293,1228,0
2004,1227,1242,0
2004,1197,1246,0
2004,1376,1272,0
2004,1284,1280,0
2004,1418,1301,0
2004,1186,1329,0
2004,1344,1334,0
2004,1416,1338,0
2004,1449,1412,0
2004,1444,1435,0
2004,1350,1458,0
2004,1257,1462,0
2004,1390,1104,0
2004,1177,1163,0
2004,1371,1181,0
2004,1211,1305,0
2004,1403,1386,0
2004,1268,1393,0
2004,1314,1400,0
2004,1264,1448,0
2004,1130,1210,0
2004,1153,1228,0
2004,1334,1242,0
2004,1272,1329,0
2004,1458,1338,0
2004,1246,1412,0
2004,1301,1435,0
2004,1280,1462,0
2004,1393,1104,0
2004,1435,1163,0
2004,1338,1329,0
2004,1448,1386,0
2004,1228,1181,0
2004,1305,1210,0
2004,1412,1242,0
2004,1400,1462,0
2004,1104,1163,0
2004,1386,1329,0
2004,1462,1181,0
2004,1242,1210,0
2004,1181,1163,0
2004,1329,1210,0
2004,1210,1163,0
2005,1105,1324,0
2005,1429,1112,0
2005,1335,1130,0
2005,1234,1153,0
2005,1457,1211,0
2005,1192,1228,0
2005,1184,1246,0
2005,1400,1305,0
2005,1310,1328,0
2005,1338,1334,0
2005,1417,1403,0
2005,1261,1412,0
2005,1431,1428,0
2005,1151,1448,0
2005,1285,1449,0
2005,1166,1452,0
2005,1104,1454,0
2005,1242,1137,0
2005,1416,1163,0
2005,1175,1181,0
2005,1325,1196,0
2005,1203,1210,0
2005,1278,1235,0
2005,1418,1257,0
2005,1330,1277,0
2005,1390,1280,0
2005,1150,1301,0
2005,1324,1314,0
2005,1368,1329,0
2005,1388,1356,0
2005,1393,1436,0
2005,1307,1437,0
2005,1320,1458,0
2005,1412,1112,0
2005,1305,1228,0
2005,1153,1246,0
2005,1211,1403,0
2005,1328,1428,0
2005,1334,1449,0
2005,1448,1452,0
2005,1130,1454,0
2005,1280,1181,0
2005,1210,1257,0
2005,1436,1277,0
2005,1163,1301,0
2005,1235,1314,0
2005,1356,1329,0
2005,1196,1437,0
2005,1137,1458,0
2005,1329,1112,0
2005,1454,1228,0
2005,1449,1257,0
2005,1403,1452,0
2005,1428,1246,0
2005,1181,1277,0
2005,1437,1314,0
2005,1301,1458,0
2005,1112,1228,0
2005,1452,1257,0
2005,1246,1277,0
2005,1458,1314,0
2005,1257,1228,0
2005,1277,1314,0
2005,1228,1314,0
2006,1214,1284,0
2006,1266,1104,0
2006,1334,1130,0
2006,1380,1181,0
2006,1375,1196,0
2006,1423,1203,0
2006,1462,1211,0
2006,1102,1228,0
2006,1361,1231,0
2006,1233,1261,0
2006,1305,1285,0
2006,1457,1397,0
2006,1393,1401,0
2006,1125,1417,0
2006,1429,1449,0
2006,1328,1454,0
2006,1371,1455,0
2006,1458,1112,0
2006,1242,1133,0
2006,1116,1137,0
2006,1107,1163,0
2006,1277,1206,0
2006,1320,1207,0
2006,1412,1246,0
2006,1331,1272,0
2006,1143,1301,0
2006,1293,1314,0
2006,1234,1322,0
2006,1172,1326,0
2006,1245,1338,0
2006,1335,1400,0
2006,1284,1437,0
2006,1356,1452,0
2006,1285,1130,0
2006,1203,1181,0
2006,1454,1196,0
2006,1231,1211,0
2006,1401,1261,0
2006,1104,1417,0
2006,1228,1449,0
2006,1397,1455,0
2006,1338,1133,0
2006,1246,1163,0
2006,1314,1206,0
2006,1326,1207,0
2006,1137,1272,0
2006,1301,1400,0
2006,1112,1437,0
2006,1322,1452,0
2006,1181,1261,0
2006,1133,1272,0
2006,1452,1400,0
2006,1211,1417,0
2006,1449,1163,0
2006,1207,1196,0
2006,1455,1206,0
2006,1130,1437,0
2006,1400,1261,0
2006,1272,1417,0
2006,1437,1196,0
2006,1163,1206,0
2006,1206,1196,0
2006,1261,1417,0
2006,1417,1196,0
2007,1197,1310,0
2007,1403,1130,0
2007,1330,1139,0
2007,1125,1207,0
2007,1211,1231,0
2007,1390,1257,0
2007,1172,1268,0
2007,1266,1277,0
2007,1184,1314,0
2007,1148,1326,0
2007,1460,1338,0
2007,1335,1401,0
2007,1451,1417,0
2007,1181,1433,0
2007,1203,1435,0
2007,1331,1450,0
2007,1140,1462,0
2007,1238,1196,0
2007,1310,1242,0
2007,1437,1246,0
2007,1317,1272,0
2007,1166,1305,0
2007,1275,1332,0
2007,1112,1345,0
2007,1221,1356,0
2007,1253,1397,0
2007,1308,1400,0
2007,1210,1424,0
2007,1116,1425,0
2007,1107,1438,0
2007,1228,1439,0
2007,1323,1457,0
2007,1394,1458,0
2007,1268,1139,0
2007,1130,1207,0
2007,1277,1314,0
2007,1462,1326,0
2007,1433,1338,0
2007,1257,1401,0
2007,1231,1417,0
2007,1450,1435,0
2007,1345,1196,0
2007,1246,1242,0
2007,1305,1272,0
2007,1457,1332,0
2007,1439,1356,0
2007,1438,1397,0
2007,1458,1424,0
2007,1400,1425,0
2007,1356,1242,0
2007,1401,1272,0
2007,1397,1326,0
2007,1338,1417,0
2007,1139,1196,0
2007,1435,1207,0
2007,1425,1314,0
2007,1424,1332,0
2007,1272,1326,0
2007,1242,1417,0
2007,1332,1196,0
2007,1314,1207,0
2007,1417,1196,0
2007,1207,1326,0
2007,1326,1196,0
2008,1164,1291,0
2008,1125,1181,0
2008,1340,1242,0
2008,1425,1243,0
2008,1246,1266,0
2008,1396,1277,0
2008,1206,1323,0
2008,1331,1338,0
2008,1124,1345,0
2008,1165,1390,0
2008,1140,1401,0
2008,1290,1417,0
2008,1245,1424,0
2008,1457,1450,0
2008,1112,1452,0
2008,1168,1458,0
2008,1208,1462,0
2008,1231,1116,0
2008,1375,1139,0
2008,1211,1172,0
2008,1420,1207,0
2008,1129,1257,0
2008,1426,1272,0
2008,1388,1274,0
2008,1332,1280,0
2008,1291,1314,0
2008,1386,1328,0
2008,1163,1360,0
2008,1435,1373,0
2008,1110,1397,0
2008,1122,1400,0
2008,1155,1437,0
2008,1179,1443,0
2008,1424,1242,0
2008,1338,1277,0
2008,1266,1390,0
