StrengthPoints,Wins_x,Wins last 40 days,ast,blk,dr,fga,fga3,fgm,fgm3,fta,ftm,losses,or,pf,points_against,points_for,stl,to,Season,TeamID,SeasonTeam,Seed,index,Wins_y,TWins,PlayIn,SeedNum,Round,TourneyPoints
61,24,9,548,93,762,1674,605,813,223,573,414,6,292,574,1842,2263,210,395,2003,1228,20031228,4,20031228,1,1,FALSE,4,2,2
40,20,6,442,171,820,1758,692,750,241,724,516,12,359,578,2144,2257,142,368,2003,1231,20031231,7,20031231,1,1,FALSE,7,2,2
0,19,8,428,58,669,1726,595,782,208,724,508,13,374,619,2253,2280,262,509,2003,1237,20031237,16,0,0,0,FALSE,16,1,1
73,23,9,502,147,807,1869,424,907,144,724,482,7,429,501,1991,2440,304,447,2003,1242,20031242,2,20031242,5,5,FALSE,2,6,32
121,29,12,518,163,773,1869,531,911,189,665,470,3,412,556,2051,2481,250,450,2003,1246,20031246,1,20031246,3,3,FALSE,1,4,8
62,24,8,498,142,753,1825,702,839,253,753,524,6,396,680,2054,2455,216,401,2003,1257,20031257,4,20031257,1,1,FALSE,4,2,2
57,21,9,508,129,760,1707,545,831,209,616,399,10,329,507,1950,2270,248,430,2003,1261,20031261,8,0,0,0,FALSE,8,1,1
0,23,6,402,113,676,1669,459,752,160,693,545,6,328,636,1965,2209,266,412,2003,1264,20031264,14,0,0,0,FALSE,14,1,1
58,23,8,457,102,674,1575,427,762,162,661,509,5,367,522,1895,2195,168,380,2003,1266,20031266,3,20031266,4,4,FALSE,3,5,16
47,19,5,529,185,749,1774,475,824,189,604,425,9,385,532,1872,2262,305,395,2003,1268,20031268,6,20031268,2,2,FALSE,6,3,4
49,23,10,482,147,753,1740,582,762,203,664,434,6,408,544,1909,2161,214,400,2003,1272,20031272,7,0,0,0,FALSE,7,1,1
66,19,7,422,115,752,1584,415,714,152,686,504,12,331,621,1890,2084,198,451,2003,1277,20031277,7,20031277,3,3,FALSE,7,4,8
69,21,8,435,112,738,1674,486,790,167,529,358,9,380,477,1805,2105,262,469,2003,1280,20031280,5,0,0,0,FALSE,5,1,1
63,21,8,426,134,803,1835,650,811,232,563,371,10,418,523,2061,2225,177,422,2003,1281,20031281,6,20031281,1,1,FALSE,6,2,2
29,18,6,440,92,661,1600,675,730,239,614,473,12,292,560,2040,2172,233,426,2003,1301,20031301,9,0,0,0,FALSE,9,1,1
57,22,4,524,175,833,1881,675,844,257,708,538,9,353,503,2207,2483,231,396,2003,1323,20031323,5,20031323,2,2,FALSE,5,3,4
74,24,9,425,113,749,1696,569,758,224,558,395,6,364,558,1805,2135,208,354,2003,1328,20031328,1,20031328,3,3,FALSE,1,4,8
58,20,4,355,162,698,1607,376,715,141,648,422,9,359,584,1804,1993,255,425,2003,1329,20031329,6,20031329,1,1,FALSE,6,2,2
42,23,8,559,89,784,1984,736,915,288,661,513,9,364,670,2367,2631,257,487,2003,1332,20031332,8,0,0,0,FALSE,8,1,1
0,22,12,401,58,653,1391,590,648,243,507,356,5,252,480,1604,1895,194,351,2003,1335,20031335,11,0,0,0,FALSE,11,1,1
50,26,10,533,123,761,1605,533,806,191,684,435,4,339,539,1765,2238,242,453,2003,1338,20031338,2,20031338,2,2,FALSE,2,3,4
65,18,4,343,82,657,1523,434,665,143,714,536,10,291,555,1827,2009,201,387,2003,1345,20031345,9,20031345,1,1,FALSE,9,2,2
0,20,8,308,87,728,1631,464,744,155,774,541,10,389,622,2138,2184,240,584,2003,1354,20031354,16,0,0,0,FALSE,16,1,1
19,24,10,407,96,674,1736,475,821,183,582,411,6,325,580,2043,2236,239,375,2003,1356,20031356,11,0,0,0,FALSE,11,1,1
0,21,10,421,151,701,1441,488,656,175,635,451,6,291,529,1762,1938,211,424,2003,1358,20031358,15,0,0,0,FALSE,15,1,1
9,17,8,459,96,738,1499,505,706,194,737,485,11,323,564,2004,2091,151,509,2003,1360,20031360,13,0,0,0,FALSE,13,1,1
14,23,7,406,161,700,1578,634,703,233,599,409,6,324,544,1719,2048,209,375,2003,1386,20031386,7,0,0,0,FALSE,7,1,1
85,23,7,454,104,779,1799,601,795,215,644,435,8,426,574,2076,2240,171,444,2003,1390,20031390,4,20031390,1,1,FALSE,4,2,2
60,24,9,434,211,780,1804,460,848,152,685,475,5,415,481,2027,2323,241,395,2003,1393,20031393,3,20031393,6,6,FALSE,3,7,64
54,22,8,406,108,732,1748,470,784,164,666,476,6,453,570,1923,2208,179,376,2003,1400,20031400,1,20031400,4,4,FALSE,1,5,16
0,25,9,452,156,741,1960,850,847,284,586,403,5,452,498,2117,2381,286,412,2003,1407,20031407,14,0,0,0,FALSE,14,1,1
0,22,11,458,155,800,1768,568,818,206,601,437,9,346,537,2023,2279,235,444,2003,1409,20031409,13,20031409,1,1,FALSE,13,2,2
0,18,6,426,67,744,1658,555,742,178,842,522,12,395,549,2125,2184,193,457,2003,1411,20031411,16a,0,0,-1,TRUE,16,1,1
0,13,6,378,87,672,1647,522,707,188,607,463,16,356,554,2275,2065,205,470,2003,1421,20031421,16b,20031421,1,0,TRUE,16,1,1
2,24,11,440,57,694,1692,552,781,203,546,376,6,299,553,1788,2141,276,344,2003,1423,20031423,11,0,0,0,FALSE,11,1,1
36,23,8,396,113,696,1522,563,695,215,564,397,7,304,603,1800,2002,140,381,2003,1428,20031428,9,20031428,1,1,FALSE,9,2,2
14,22,8,417,60,671,1558,364,711,121,607,436,8,379,483,1803,1979,152,367,2003,1429,20031429,15,0,0,0,FALSE,15,1,1
0,19,8,412,86,746,1620,449,720,153,567,373,10,376,461,1831,1966,199,408,2003,1436,20031436,16,0,0,0,FALSE,16,1,1
7,23,11,440,110,721,1733,652,797,239,654,433,8,377,572,2059,2266,219,470,2003,1443,20031443,13,0,0,0,FALSE,13,1,1
0,21,9,499,87,693,1788,568,844,218,598,436,10,372,545,2215,2342,233,464,2003,1447,20031447,15,0,0,0,FALSE,15,1,1
54,24,9,423,127,781,1660,514,758,177,772,581,5,428,536,1961,2274,186,438,2003,1448,20031448,2,20031448,1,1,FALSE,2,2,2
5,25,10,414,19,660,1533,528,714,177,745,547,4,300,547,1948,2152,196,361,2003,1451,20031451,12,0,0,0,FALSE,12,1,1
10,23,8,513,108,690,1729,654,818,233,643,444,7,346,604,2098,2313,264,446,2003,1454,20031454,12,0,0,0,FALSE,12,1,1
39,22,7,386,82,654,1563,504,726,181,564,418,7,299,430,1702,2051,202,305,2003,1458,20031458,5,20031458,2,2,FALSE,5,3,4
64,25,9,492,91,765,1776,533,804,193,731,546,5,418,473,1979,2347,164,391,2003,1462,20031462,3,20031462,1,1,FALSE,3,2,2
17,22,7,371,66,430,1177,622,568,237,440,312,6,172,466,1412,1685,218,302,2004,1102,20041102,11,0,0,0,FALSE,11,1,1
34,17,6,344,90,696,1595,540,722,207,634,443,12,328,532,1956,2094,187,385,2004,1104,20041104,8,20041104,3,3,FALSE,8,4,8
1,16,10,308,94,683,1462,497,617,166,674,443,14,351,561,1818,1843,212,516,2004,1106,20041106,16,0,0,0,FALSE,16,1,1
18,20,6,548,132,745,1885,557,914,214,631,496,9,403,466,2274,2538,202,434,2004,1112,20041112,9,0,0,0,FALSE,9,1,1
58,23,10,509,97,759,1711,376,776,120,778,528,9,410,509,2040,2200,225,428,2004,1130,20041130,6,20041130,1,1,FALSE,6,2,2
27,19,9,396,88,633,1397,420,680,145,609,444,8,269,516,1765,1949,194,378,2004,1140,20041140,12,0,0,0,FALSE,12,1,1
50,21,8,470,86,759,1747,658,787,226,777,501,8,428,548,2072,2301,253,444,2004,1150,20041150,9,0,0,0,FALSE,9,1,1
61,24,9,481,152,724,1773,564,811,217,701,468,6,394,583,1887,2307,237,363,2004,1153,20041153,4,20041153,1,1,FALSE,4,2,2
74,27,9,602,288,973,2067,527,994,211,667,411,6,505,530,2110,2610,203,455,2004,1163,20041163,2,20041163,6,6,FALSE,2,7,64
31,24,7,478,91,825,1667,624,753,204,694,465,8,391,547,2051,2175,145,457,2004,1173,20041173,10,0,0,0,FALSE,10,1,1
46,21,9,412,71,713,1637,422,769,153,618,435,9,362,522,2030,2126,171,403,2004,1177,20041177,7,20041177,1,1,FALSE,7,2,2
138,27,9,456,218,731,1871,625,882,230,763,558,5,429,599,2079,2552,299,454,2004,1181,20041181,1,20041181,4,4,FALSE,1,5,16
0,16,7,440,42,593,1453,460,693,173,580,408,12,256,569,1914,1967,178,426,2004,1186,20041186,15,0,0,0,FALSE,15,1,1
0,24,9,446,162,740,1772,488,822,173,654,443,5,354,489,2037,2260,317,469,2004,1190,20041190,13,0,0,0,FALSE,13,1,1
66,20,7,488,94,748,1674,648,808,246,594,447,10,307,566,2074,2309,196,440,2004,1196,20041196,5,0,0,0,FALSE,5,1,1
0,14,7,381,48,676,1673,732,692,254,736,525,16,343,657,2219,2163,250,508,2004,1197,20041197,16a,20041197,1,0,TRUE,16,1,1
108,23,7,505,155,835,1868,620,878,232,736,510,9,364,679,2153,2498,283,495,2004,1210,20041210,3,20041210,5,5,FALSE,3,6,32
24,27,10,528,110,810,1635,456,842,189,681,515,2,335,462,1912,2388,182,393,2004,1211,20041211,2,20041211,1,1,FALSE,2,2,2
3,24,9,458,85,687,1733,394,790,155,686,435,7,412,547,1938,2170,238,390,2004,1227,20041227,13,0,0,0,FALSE,13,1,1
35,24,10,503,114,688,1720,606,799,207,533,371,6,361,573,1884,2176,205,377,2004,1228,20041228,5,20041228,2,2,FALSE,5,3,4
19,20,7,483,138,742,1628,481,754,161,604,427,8,338,573,1909,2096,193,404,2004,1242,20041242,4,20041242,3,3,FALSE,4,4,8
113,26,11,468,101,721,1705,524,800,186,586,408,4,354,553,1884,2194,237,435,2004,1246,20041246,1,20041246,1,1,FALSE,1,2,2
0,18,7,350,93,684,1511,497,637,172,555,398,10,313,528,1783,1844,201,410,2004,1250,20041250,16b,0,0,-1,TRUE,16,1,1
0,17,9,427,103,749,1793,615,766,187,603,412,14,410,602,2077,2131,272,490,2004,1251,20041251,16,0,0,0,FALSE,16,1,1
73,20,4,442,151,762,1694,681,712,231,628,470,9,338,593,1766,2125,242,403,2004,1257,20041257,10,0,0,0,FALSE,10,1,1
6,24,9,313,121,658,1601,454,707,167,757,575,5,353,589,1840,2156,274,377,2004,1264,20041264,12,20041264,1,1,FALSE,12,2,2
91,19,8,421,203,772,1910,460,842,154,771,483,11,473,585,2153,2321,262,454,2004,1268,20041268,4,20041268,1,1,FALSE,4,2,2
23,21,7,400,143,704,1642,678,693,244,650,430,7,377,510,1846,2060,209,362,2004,1272,20041272,7,20041272,1,1,FALSE,7,2,2
10,18,8,427,54,620,1464,458,725,185,568,437,11,264,604,1953,2072,205,424,2004,1277,20041277,7,0,0,0,FALSE,7,1,1
57,25,7,383,126,731,1638,511,766,181,673,446,3,413,455,1856,2159,257,433,2004,1280,20041280,2,20041280,1,1,FALSE,2,2,2
0,21,9,442,84,768,1751,648,734,227,678,506,11,300,561,2141,2201,245,429,2004,1284,20041284,15,0,0,0,FALSE,15,1,1
8,25,11,565,128,759,1785,582,886,194,642,458,5,367,542,2082,2424,230,414,2004,1293,20041293,12,0,0,0,FALSE,12,1,1
98,20,8,431,68,687,1582,705,715,242,570,455,9,291,537,1891,2127,202,399,2004,1301,20041301,3,20041301,1,1,FALSE,3,2,2
24,22,10,427,141,764,1763,429,803,146,718,513,8,402,549,1985,2265,195,390,2004,1305,20041305,10,20041305,2,2,FALSE,10,3,4
95,18,5,514,118,690,1795,514,830,182,712,484,10,430,518,2113,2326,269,438,2004,1314,20041314,6,20041314,1,1,FALSE,6,2,2
8,20,10,377,57,751,1539,586,676,205,612,450,9,259,492,1892,2007,152,367,2004,1320,20041320,14,0,0,0,FALSE,14,1,1
74,26,11,466,104,701,1634,370,838,140,650,452,3,330,563,1853,2268,228,390,2004,1329,20041329,2,20041329,4,4,FALSE,2,5,16
7,23,11,429,96,728,1485,498,696,177,686,506,7,278,507,1914,2075,175,423,2004,1334,20041334,12,20041334,1,1,FALSE,12,2,2
75,28,9,482,157,759,1710,426,823,134,650,424,4,413,464,1795,2204,188,398,2004,1338,20041338,3,20041338,2,2,FALSE,3,3,4
2,19,11,341,85,577,1213,457,581,157,430,306,7,223,471,1477,1625,173,351,2004,1343,20041343,14,0,0,0,FALSE,14,1,1
74,20,6,445,141,613,1531,603,694,222,547,392,8,327,451,1801,2002,260,418,2004,1344,20041344,5,0,0,0,FALSE,5,1,1
27,20,8,389,140,752,1739,591,712,181,635,460,12,383,598,1888,2065,227,418,2004,1350,20041350,11,0,0,0,FALSE,11,1,1
3,25,8,409,90,644,1716,526,763,173,535,368,4,383,562,1824,2067,298,350,2004,1356,20041356,9,0,0,0,FALSE,9,1,1
51,19,6,371,88,709,1592,472,731,167,551,395,9,330,507,1805,2024,190,368,2004,1371,20041371,8,20041371,1,1,FALSE,8,2,2
51,23,5,490,173,780,1906,678,831,224,674,454,10,419,594,2071,2340,295,436,2004,1376,20041376,10,0,0,0,FALSE,10,1,1
54,27,8,463,100,651,1590,671,761,273,545,383,1,271,477,1722,2178,256,328,2004,1386,20041386,1,20041386,3,3,FALSE,1,4,8
62,29,11,491,133,756,1644,426,796,156,625,470,1,333,518,1821,2218,191,419,2004,1390,20041390,1,20041390,1,1,FALSE,1,2,2
55,21,7,430,192,692,1673,388,775,121,583,371,7,390,494,1871,2042,221,358,2004,1393,20041393,5,20041393,2,2,FALSE,5,3,4
69,23,9,415,117,753,1879,566,828,204,672,454,7,489,583,1992,2314,209,356,2004,1400,20041400,3,20041400,2,2,FALSE,3,3,4
29,22,5,472,113,726,1870,348,868,118,671,495,10,362,535,2126,2349,264,399,2004,1403,20041403,8,20041403,1,1,FALSE,8,2,2
39,20,7,510,108,658,1803,569,799,188,575,376,9,358,607,1943,2162,341,395,2004,1412,20041412,9,20041412,2,2,FALSE,9,3,4
0,24,9,484,140,693,1616,611,740,216,483,349,5,359,527,1804,2045,256,439,2004,1416,20041416,14,0,0,0,FALSE,14,1,1
2,18,9,419,55,571,1526,575,707,214,517,355,8,303,485,1817,1983,226,378,2004,1418,20041418,14,0,0,0,FALSE,14,1,1
0,16,10,353,78,704,1582,546,680,197,671,471,12,346,555,2034,2028,193,479,2004,1427,20041427,16,0,0,0,FALSE,16,1,1
10,23,8,397,109,744,1528,471,723,185,534,381,8,330,542,1786,2012,138,441,2004,1428,20041428,11,0,0,0,FALSE,11,1,1
7,22,9,472,76,698,1581,460,744,174,706,527,7,298,495,1950,2189,203,393,2004,1431,20041431,13,0,0,0,FALSE,13,1,1
0,23,9,390,116,762,1650,510,782,197,601,363,7,370,527,1907,2124,202,493,2004,1433,20041433,13,0,0,0,FALSE,13,1,1
1,17,8,447,95,769,1617,489,718,153,713,507,12,345,653,2072,2096,193,469,2004,1434,20041434,15,0,0,0,FALSE,15,1,1
53,21,7,499,105,726,1721,648,772,234,613,437,9,343,534,1942,2215,227,383,2004,1435,20041435,6,20041435,2,2,FALSE,6,3,4
0,22,9,437,86,747,1678,585,715,192,545,370,8,349,458,1863,1992,210,377,2004,1436,20041436,15,0,0,0,FALSE,15,1,1
8,26,11,464,82,710,1777,566,823,215,715,515,4,431,581,1978,2376,263,399,2004,1444,20041444,11,0,0,0,FALSE,11,1,1
96,19,6,441,91,658,1692,559,798,214,753,537,9,393,583,2118,2347,259,421,2004,1448,20041448,4,20041448,2,2,FALSE,4,3,4
42,19,10,482,86,690,1847,549,855,195,754,538,11,372,637,2347,2443,220,456,2004,1449,20041449,8,0,0,0,FALSE,8,1,1
54,24,10,402,84,651,1588,528,712,174,643,461,6,338,462,1700,2059,209,298,2004,1458,20041458,6,20041458,1,1,FALSE,6,2,2
61,23,12,445,74,782,1836,679,810,251,667,453,10,389,549,2058,2324,232,414,2004,1462,20041462,7,20041462,3,3,FALSE,7,4,8
46,23,7,415,133,794,1580,587,761,229,698,512,7,307,442,1945,2263,156,380,2005,1104,20051104,5,0,0,0,FALSE,5,1,1
0,16,8,381,112,705,1711,587,686,177,740,454,13,375,561,1966,2003,308,442,2005,1105,20051105,16a,0,0,-1,TRUE,16,1,1
56,27,10,547,118,768,2041,562,961,226,618,481,6,453,543,2295,2629,272,490,2005,1112,20051112,3,20051112,3,3,FALSE,3,4,8
66,24,5,487,115,657,1583,340,715,112,662,472,4,401,417,1787,2014,203,362,2005,1130,20051130,4,20051130,1,1,FALSE,4,2,2
11,22,8,386,93,695,1480,545,659,205,642,448,9,290,585,1812,1971,248,489,2005,1137,20051137,14,20051137,1,1,FALSE,14,2,2
20,21,7,398,90,675,1709,609,740,224,716,490,7,408,475,2018,2194,244,369,2005,1150,20051150,7,0,0,0,FALSE,7,1,1
0,17,7,365,54,731,1489,470,661,142,651,438,10,365,453,1824,1902,190,470,2005,1151,20051151,15,0,0,0,FALSE,15,1,1
22,24,7,465,213,839,1805,590,792,205,837,580,7,446,548,1997,2369,170,417,2005,1153,20051153,7,20051153,1,1,FALSE,7,2,2
56,22,10,505,265,883,1762,424,811,149,730,509,7,455,459,1936,2280,179,441,2005,1163,20051163,2,20051163,1,1,FALSE,2,2,2
14,23,9,471,108,710,1770,687,802,285,647,471,10,326,582,2144,2360,226,395,2005,1166,20051166,10,0,0,0,FALSE,10,1,1
0,19,10,341,91,556,1533,607,648,208,662,493,13,325,515,1979,1997,261,450,2005,1175,20051175,16,0,0,0,FALSE,16,1,1
107,25,9,396,206,748,1775,699,796,269,747,532,5,405,553,1974,2393,263,408,2005,1181,20051181,1,20051181,2,2,FALSE,1,3,4
0,19,8,396,102,636,1508,470,709,167,474,315,8,295,527,1822,1900,185,384,2005,1184,20051184,15,0,0,0,FALSE,15,1,1
0,19,8,466,137,733,1858,589,839,207,618,414,12,386,588,2198,2299,221,431,2005,1192,20051192,16,0,0,0,FALSE,16,1,1
64,23,10,451,134,775,1645,585,803,230,672,470,7,345,546,1882,2306,211,409,2005,1196,20051196,4,20051196,1,1,FALSE,4,2,2
12,22,9,465,124,686,1685,431,804,156,677,476,7,378,504,1941,2240,284,434,2005,1203,20051203,12,0,0,0,FALSE,12,1,1
31,19,7,449,159,801,1768,538,801,177,667,458,11,383,604,1989,2237,248,459,2005,1210,20051210,5,20051210,1,1,FALSE,5,2,2
58,25,10,459,100,767,1581,374,800,146,757,565,4,340,505,2024,2311,162,393,2005,1211,20051211,3,20051211,1,1,FALSE,3,2,2
118,32,10,613,113,772,1901,719,929,287,566,410,1,362,512,1984,2555,252,367,2005,1228,20051228,1,20051228,5,5,FALSE,1,6,32
68,21,6,496,173,800,1772,541,821,205,720,496,11,355,598,2145,2343,241,465,2005,1234,20051234,10,0,0,0,FALSE,10,1,1
51,18,8,413,110,673,1660,365,732,107,596,412,11,341,484,1860,1983,275,375,2005,1235,20051235,9,20051235,1,1,FALSE,9,2,2
89,23,6,481,112,753,1638,528,781,197,622,429,6,342,558,1892,2188,192,420,2005,1242,20051242,3,0,0,0,FALSE,3,1,1
68,25,9,458,133,687,1732,580,795,196,642,426,5,381,504,1857,2212,282,391,2005,1246,20051246,2,20051246,3,3,FALSE,2,4,8
66,27,11,494,122,819,1771,741,823,299,758,552,4,394,576,1942,2497,281,446,2005,1257,20051257,4,20051257,4,4,FALSE,4,5,16
45,20,9,432,122,722,1626,540,753,199,663,484,9,333,463,2060,2189,203,384,2005,1261,20051261,6,0,0,0,FALSE,6,1,1
53,22,8,500,75,677,1565,533,776,192,570,442,6,332,540,1774,2186,216,388,2005,1277,20051277,5,20051277,4,4,FALSE,5,5,16
18,21,7,445,144,697,1644,464,750,165,646,457,10,353,493,1948,2122,283,500,2005,1278,20051278,8,0,0,0,FALSE,8,1,1
20,22,5,453,103,847,1839,560,818,186,745,496,10,464,494,2112,2318,222,484,2005,1280,20051280,9,20051280,1,1,FALSE,9,2,2
0,16,8,386,87,720,1435,469,656,163,685,465,12,288,479,1933,1940,165,476,2005,1285,20051285,16,0,0,0,FALSE,16,1,1
43,19,6,490,139,686,1756,734,806,271,690,480,13,355,603,2124,2363,226,393,2005,1301,20051301,10,20051301,2,2,FALSE,10,3,4
10,23,10,437,150,792,1553,288,717,78,715,505,6,350,456,1813,2017,194,423,2005,1305,20051305,9,20051305,1,1,FALSE,9,2,2
22,25,10,466,107,744,1614,642,805,257,716,485,6,301,523,2013,2352,233,428,2005,1307,20051307,12,0,0,0,FALSE,12,1,1
0,20,7,461,96,724,1847,725,809,264,776,588,9,460,551,2267,2470,199,371,2005,1310,20051310,14,0,0,0,FALSE,14,1,1
83,27,10,599,119,823,1902,572,944,229,864,635,4,427,562,2178,2752,322,517,2005,1314,20051314,1,20051314,6,6,FALSE,1,7,64
18,20,7,470,130,737,1651,565,792,217,536,374,10,263,529,2004,2175,183,350,2005,1320,20051320,11,0,0,0,FALSE,11,1,1
0,11,7,427,72,599,1627,544,727,182,610,404,18,344,512,2131,2040,202,349,2005,1324,20051324,16b,20051324,1,0,TRUE,16,1,1
0,21,11,366,81,679,1629,537,755,173,776,543,10,338,550,2107,2226,265,403,2005,1325,20051325,13,0,0,0,FALSE,13,1,1
82,24,8,492,129,696,1767,544,853,209,618,423,7,395,566,1954,2338,274,428,2005,1328,20051328,3,20051328,1,1,FALSE,3,2,2
88,23,9,482,78,662,1620,499,804,205,585,452,6,330,538,1910,2265,202,402,2005,1329,20051329,2,20051329,2,2,FALSE,2,3,4
0,27,9,515,143,778,1824,583,804,192,654,450,5,384,548,1936,2250,308,386,2005,1330,20051330,12,0,0,0,FALSE,12,1,1
20,26,10,434,94,755,1476,482,738,183,591,441,3,283,419,1843,2100,148,404,2005,1334,20051334,8,20051334,1,1,FALSE,8,2,2
3,20,11,403,90,704,1509,533,659,182,630,417,8,346,551,1703,1917,222,438,2005,1335,20051335,13,0,0,0,FALSE,13,1,1
54,20,5,429,117,669,1508,439,713,167,659,433,8,404,476,1763,2026,182,409,2005,1338,20051338,9,0,0,0,FALSE,9,1,1
26,25,10,429,92,693,1781,515,799,189,473,353,7,362,614,1923,2140,284,410,2005,1356,20051356,7,20051356,1,1,FALSE,7,2,2
0,19,10,298,103,549,1340,308,606,91,559,352,8,290,477,1520,1655,246,383,2005,1368,20051368,15,0,0,0,FALSE,15,1,1
14,23,6,351,103,735,1656,607,726,215,698,502,8,376,567,2023,2169,187,482,2005,1388,20051388,10,0,0,0,FALSE,10,1,1
43,18,6,368,84,711,1715,345,750,120,653,483,12,368,541,2041,2103,202,422,2005,1390,20051390,8,0,0,0,FALSE,8,1,1
55,27,7,517,154,797,1901,487,923,153,741,492,6,456,526,2137,2491,267,441,2005,1393,20051393,4,0,0,0,FALSE,4,1,1
41,19,5,388,123,755,1658,594,761,228,708,493,10,390,509,2001,2243,176,412,2005,1400,20051400,8,0,0,0,FALSE,8,1,1
65,20,8,505,119,705,1790,341,847,137,648,495,10,341,511,2087,2326,233,386,2005,1403,20051403,6,20051403,2,2,FALSE,6,3,4
1,21,6,486,95,659,1873,579,852,204,722,504,10,364,600,2218,2412,365,415,2005,1412,20051412,11,20051412,1,1,FALSE,11,2,2
3,21,9,444,119,671,1475,658,679,241,546,381,8,347,551,1888,1980,193,440,2005,1416,20051416,15,0,0,0,FALSE,15,1,1
16,18,7,401,72,707,1594,518,722,180,619,448,10,334,517,2000,2072,164,451,2005,1417,20051417,11,0,0,0,FALSE,11,1,1
10,19,8,351,84,614,1697,569,752,190,607,404,10,413,562,1978,2098,272,449,2005,1418,20051418,13,0,0,0,FALSE,13,1,1
16,25,9,433,85,700,1398,353,711,130,641,469,5,319,434,1708,2021,178,433,2005,1428,20051428,6,20051428,2,2,FALSE,6,3,4
20,24,9,534,89,768,1566,454,831,178,609,422,7,295,425,1782,2262,173,384,2005,1429,20051429,14,0,0,0,FALSE,14,1,1
9,25,10,528,90,738,1790,521,830,193,717,568,7,355,538,2128,2421,236,396,2005,1431,20051431,11,0,0,0,FALSE,11,1,1
0,24,9,474,57,776,1723,708,761,255,557,401,6,361,475,1858,2178,202,356,2005,1436,20051436,13,20051436,1,1,FALSE,13,2,2
60,22,10,359,165,655,1668,558,739,206,614,455,7,414,534,1817,2139,239,366,2005,1437,20051437,5,20051437,2,2,FALSE,5,3,4
101,26,9,492,113,796,1837,578,905,234,849,582,5,433,598,2276,2626,267,451,2005,1448,20051448,2,20051448,1,1,FALSE,2,2,2
96,26,10,600,81,696,2018,592,977,231,666,488,5,467,641,2276,2673,259,453,2005,1449,20051449,1,20051449,2,2,FALSE,1,3,4
64,21,9,502,116,644,1716,795,759,277,517,382,10,307,454,2037,2177,253,353,2005,1452,20051452,7,20051452,3,3,FALSE,7,4,8
0,22,9,365,95,629,1570,604,691,209,577,404,5,360,525,1730,1995,224,369,2005,1454,20051454,12,20051454,2,2,FALSE,12,3,4
