,Season,team,opp,result,team_seed,opp_seed,team_n_seed,opp_n_seed
46,2003,1338,1231,1,Y02,Y07,2,7
47,2003,1393,1329,1,W03,W06,3,6
48,2003,1400,1345,1,X01,X09,1,9
49,2003,1112,1323,1,Z01,Z05,1,5
50,2003,1242,1181,1,Z02,Z03,2,3
51,2003,1246,1458,1,Y01,Y05,1,5
52,2003,1266,1338,1,Y03,Y02,3,2
53,2003,1277,1268,1,X07,X06,7,6
54,2003,1328,1139,1,W01,W12,1,12
55,2003,1393,1120,1,W03,W10,3,10
56,2003,1400,1163,1,X01,X05,1,5
57,2003,1242,1112,1,Z02,Z01,2,1
58,2003,1266,1246,1,Y03,Y01,3,1
59,2003,1393,1328,1,W03,W01,3,1
60,2003,1400,1277,1,X01,X07,1,7
61,2003,1242,1266,1,Z02,Y03,2,3
62,2003,1393,1400,1,W03,X01,3,1
63,2003,1393,1242,1,W03,Z02,3,2
64,2004,1197,1250,1,Z16a,Z16b,16,16
65,2004,1104,1356,1,X08,X09,8,9
66,2004,1163,1436,1,X02,X15,2,15
67,2004,1177,1173,1,X07,X10,7,10
68,2004,1181,1106,1,W01,W16,1,16
69,2004,1211,1434,1,Z02,Z15,2,15
70,2004,1264,1196,1,Y12,Y05,12,5
71,2004,1268,1431,1,X04,X13,4,13
72,2004,1305,1277,1,Z10,Z07,10,7
73,2004,1314,1102,1,W06,W11,6,11
74,2004,1371,1112,1,W08,W09,8,9
75,2004,1386,1251,1,Y01,Y16,1,16
76,2004,1390,1427,1,X01,X16,1,16
77,2004,1393,1140,1,X05,X12,5,12
78,2004,1400,1343,1,W03,W14,3,14
79,2004,1403,1150,1,Y08,Y09,8,9
80,2004,1448,1433,1,Y04,Y13,4,13
81,2004,1130,1428,1,Z06,Z11,6,11
82,2004,1153,1190,1,W04,W13,4,13
83,2004,1210,1320,1,Z03,Z14,3,14
84,2004,1228,1293,1,W05,W12,5,12
85,2004,1242,1227,1,Z04,Z13,4,13
86,2004,1246,1197,1,Z01,Z16a,1,16
87,2004,1272,1376,1,Y07,Y10,7,10
88,2004,1280,1284,1,W02,W15,2,15
89,2004,1301,1418,1,X03,X14,3,14
90,2004,1329,1186,1,Y02,Y15,2,15
91,2004,1334,1344,1,Z12,Z05,12,5
92,2004,1338,1416,1,Y03,Y14,3,14
93,2004,1412,1449,1,Z09,Z08,9,8
94,2004,1435,1444,1,X06,X11,6,11
95,2004,1458,1350,1,Y06,Y11,6,11
96,2004,1462,1257,1,W07,W10,7,10
97,2004,1104,1390,1,X08,X01,8,1
98,2004,1163,1177,1,X02,X07,2,7
99,2004,1181,1371,1,W01,W08,1,8
100,2004,1305,1211,1,Z10,Z02,10,2
101,2004,1386,1403,1,Y01,Y08,1,8
102,2004,1393,1268,1,X05,X04,5,4
103,2004,1400,1314,1,W03,W06,3,6
104,2004,1448,1264,1,Y04,Y12,4,12
105,2004,1210,1130,1,Z03,Z06,3,6
106,2004,1228,1153,1,W05,W04,5,4
107,2004,1242,1334,1,Z04,Z12,4,12
108,2004,1329,1272,1,Y02,Y07,2,7
109,2004,1338,1458,1,Y03,Y06,3,6
110,2004,1412,1246,1,Z09,Z01,9,1
111,2004,1435,1301,1,X06,X03,6,3
112,2004,1462,1280,1,W07,W02,7,2
113,2004,1104,1393,1,X08,X05,8,5
114,2004,1163,1435,1,X02,X06,2,6
115,2004,1329,1338,1,Y02,Y03,2,3
116,2004,1386,1448,1,Y01,Y04,1,4
117,2004,1181,1228,1,W01,W05,1,5
118,2004,1210,1305,1,Z03,Z10,3,10
119,2004,1242,1412,1,Z04,Z09,4,9
120,2004,1462,1400,1,W07,W03,7,3
121,2004,1163,1104,1,X02,X08,2,8
122,2004,1329,1386,1,Y02,Y01,2,1
123,2004,1181,1462,1,W01,W07,1,7
124,2004,1210,1242,1,Z03,Z04,3,4
125,2004,1163,1181,1,X02,W01,2,1
126,2004,1210,1329,1,Z03,Y02,3,2
127,2004,1163,1210,1,X02,Z03,2,3
128,2005,1324,1105,1,Z16b,Z16a,16,16
129,2005,1112,1429,1,X03,X14,3,14
130,2005,1130,1335,1,X04,X13,4,13
131,2005,1153,1234,1,Y07,Y10,7,10
132,2005,1211,1457,1,W03,W14,3,14
133,2005,1228,1192,1,X01,X16,1,16
134,2005,1246,1184,1,Y02,Y15,2,15
135,2005,1305,1400,1,X09,X08,9,8
136,2005,1328,1310,1,Y03,Y14,3,14
137,2005,1334,1338,1,W08,W09,8,9
138,2005,1403,1417,1,W06,W11,6,11
139,2005,1412,1261,1,X11,X06,11,6
140,2005,1428,1431,1,Y06,Y11,6,11
141,2005,1448,1151,1,W02,W15,2,15
142,2005,1449,1285,1,W01,W16,1,16
143,2005,1452,1166,1,W07,W10,7,10
144,2005,1454,1104,1,X12,X05,12,5
145,2005,1137,1242,1,Z14,Z03,14,3
146,2005,1163,1416,1,Z02,Z15,2,15
147,2005,1181,1175,1,Y01,Y16,1,16
148,2005,1196,1325,1,Z04,Z13,4,13
149,2005,1210,1203,1,W05,W12,5,12
150,2005,1235,1278,1,Z09,Z08,9,8
151,2005,1257,1418,1,W04,W13,4,13
152,2005,1277,1330,1,Y05,Y12,5,12
153,2005,1280,1390,1,Y09,Y08,9,8
154,2005,1301,1150,1,Z10,Z07,10,7
155,2005,1314,1324,1,Z01,Z16b,1,16
156,2005,1329,1368,1,X02,X15,2,15
157,2005,1356,1388,1,X07,X10,7,10
158,2005,1436,1393,1,Y13,Y04,13,4
159,2005,1437,1307,1,Z05,Z12,5,12
160,2005,1458,1320,1,Z06,Z11,6,11
161,2005,1112,1412,1,X03,X11,3,11
162,2005,1228,1305,1,X01,X09,1,9
163,2005,1246,1153,1,Y02,Y07,2,7
164,2005,1403,1211,1,W06,W03,6,3
165,2005,1428,1328,1,Y06,Y03,6,3
166,2005,1449,1334,1,W01,W08,1,8
167,2005,1452,1448,1,W07,W02,7,2
168,2005,1454,1130,1,X12,X04,12,4
169,2005,1181,1280,1,Y01,Y09,1,9
170,2005,1257,1210,1,W04,W05,4,5
171,2005,1277,1436,1,Y05,Y13,5,13
172,2005,1301,1163,1,Z10,Z02,10,2
173,2005,1314,1235,1,Z01,Z09,1,9
174,2005,1329,1356,1,X02,X07,2,7
175,2005,1437,1196,1,Z05,Z04,5,4
176,2005,1458,1137,1,Z06,Z14,6,14
177,2005,1112,1329,1,X03,X02,3,2
178,2005,1228,1454,1,X01,X12,1,12
179,2005,1257,1449,1,W04,W01,4,1
180,2005,1452,1403,1,W07,W06,7,6
181,2005,1246,1428,1,Y02,Y06,2,6
182,2005,1277,1181,1,Y05,Y01,5,1
183,2005,1314,1437,1,Z01,Z05,1,5
184,2005,1458,1301,1,Z06,Z10,6,10
185,2005,1228,1112,1,X01,X03,1,3
186,2005,1257,1452,1,W04,W07,4,7
187,2005,1277,1246,1,Y05,Y02,5,2
188,2005,1314,1458,1,Z01,Z06,1,6
189,2005,1228,1257,1,X01,W04,1,4
190,2005,1314,1277,1,Z01,Y05,1,5
191,2005,1314,1228,1,Z01,X01,1,1
192,2006,1284,1214,1,Y16b,Y16a,16,16
193,2006,1104,1266,1,X10,X07,10,7
194,2006,1130,1334,1,Y04,Y13,4,13
195,2006,1181,1380,1,W01,W16,1,16
196,2006,1196,1375,1,Y03,Y14,3,14
197,2006,1203,1423,1,W08,W09,8,9
198,2006,1211,1462,1,X03,X14,3,14
199,2006,1228,1102,1,Z04,Z13,4,13
200,2006,1231,1361,1,X06,X11,6,11
201,2006,1261,1233,1,W04,W13,4,13
202,2006,1285,1305,1,Y12,Y05,12,5
203,2006,1397,1457,1,Z02,Z15,2,15
204,2006,1401,1393,1,W12,W05,12,5
205,2006,1417,1125,1,X02,X15,2,15
206,2006,1449,1429,1,Z05,Z12,5,12
207,2006,1454,1328,1,Y11,Y06,11,6
208,2006,1455,1371,1,Z07,Z10,7,10
209,2006,1112,1458,1,Y08,Y09,8,9
210,2006,1133,1242,1,X13,X04,13,4
211,2006,1137,1116,1,X09,X08,9,8
212,2006,1163,1107,1,Z01,Z16,1,16
213,2006,1206,1277,1,Z11,Z06,11,6
214,2006,1207,1320,1,Y07,Y10,7,10
215,2006,1246,1412,1,Z08,Z09,8,9
216,2006,1272,1331,1,X01,X16,1,16
217,2006,1301,1143,1,W10,W07,10,7
218,2006,1314,1293,1,Z03,Z14,3,14
219,2006,1322,1234,1,W14,W03,14,3
220,2006,1326,1172,1,Y02,Y15,2,15
221,2006,1338,1245,1,X05,X12,5,12
222,2006,1400,1335,1,W02,W15,2,15
223,2006,1437,1284,1,Y01,Y16b,1,16
224,2006,1452,1356,1,W06,W11,6,11
225,2006,1130,1285,1,Y04,Y12,4,12
226,2006,1181,1203,1,W01,W08,1,8
227,2006,1196,1454,1,Y03,Y11,3,11
228,2006,1211,1231,1,X03,X06,3,6
229,2006,1261,1401,1,W04,W12,4,12
230,2006,1417,1104,1,X02,X10,2,10
231,2006,1449,1228,1,Z05,Z04,5,4
232,2006,1455,1397,1,Z07,Z02,7,2
233,2006,1133,1338,1,X13,X05,13,5
234,2006,1163,1246,1,Z01,Z08,1,8
235,2006,1206,1314,1,Z11,Z03,11,3
236,2006,1207,1326,1,Y07,Y02,7,2
237,2006,1272,1137,1,X01,X09,1,9
238,2006,1400,1301,1,W02,W10,2,10
239,2006,1437,1112,1,Y01,Y08,1,8
240,2006,1452,1322,1,W06,W14,6,14
241,2006,1261,1181,1,W04,W01,4,1
242,2006,1272,1133,1,X01,X13,1,13
243,2006,1400,1452,1,W02,W06,2,6
244,2006,1417,1211,1,X02,X03,2,3
245,2006,1163,1449,1,Z01,Z05,1,5
246,2006,1196,1207,1,Y03,Y07,3,7
247,2006,1206,1455,1,Z11,Z07,11,7
248,2006,1437,1130,1,Y01,Y04,1,4
249,2006,1261,1400,1,W04,W02,4,2
250,2006,1417,1272,1,X02,X01,2,1
251,2006,1196,1437,1,Y03,Y01,3,1
252,2006,1206,1163,1,Z11,Z01,11,1
253,2006,1196,1206,1,Y03,Z11,3,11
254,2006,1417,1261,1,X02,W04,2,4
255,2006,1196,1417,1,Y03,X02,3,2
256,2007,1310,1197,1,Z16b,Z16a,16,16
257,2007,1130,1403,1,W07,W10,7,10
258,2007,1139,1330,1,Y05,Y12,5,12
259,2007,1207,1125,1,W02,W15,2,15
260,2007,1231,1211,1,Z07,Z10,7,10
261,2007,1257,1390,1,X06,X11,6,11
262,2007,1268,1172,1,Y04,Y13,4,13
263,2007,1277,1266,1,W09,W08,9,8
264,2007,1314,1184,1,W01,W16,1,16
265,2007,1326,1148,1,X01,X16,1,16
266,2007,1338,1460,1,Z03,Z14,3,14
267,2007,1401,1335,1,X03,X14,3,14
268,2007,1417,1451,1,Z02,Z15,2,15
269,2007,1433,1181,1,Z11,Z06,11,6
270,2007,1435,1203,1,W06,W11,6,11
271,2007,1450,1331,1,W03,W14,3,14
272,2007,1462,1140,1,X09,X08,9,8
273,2007,1196,1238,1,Y01,Y16,1,16
274,2007,1242,1310,1,Z01,Z16b,1,16
275,2007,1246,1437,1,Z08,Z09,8,9
276,2007,1272,1317,1,X02,X15,2,15
277,2007,1305,1166,1,X07,X10,7,10
278,2007,1332,1275,1,Y03,Y14,3,14
279,2007,1345,1112,1,Y09,Y08,9,8
280,2007,1356,1221,1,Z04,Z13,4,13
281,2007,1397,1253,1,X05,X12,5,12
282,2007,1400,1308,1,W04,W13,4,13
283,2007,1424,1210,1,Y07,Y10,7,10
284,2007,1425,1116,1,W05,W12,5,12
285,2007,1438,1107,1,X04,X13,4,13
286,2007,1439,1228,1,Z05,Z12,5,12
287,2007,1457,1323,1,Y11,Y06,11,6
288,2007,1458,1394,1,Y02,Y15,2,15
289,2007,1139,1268,1,Y05,Y04,5,4
290,2007,1207,1130,1,W02,W07,2,7
291,2007,1314,1277,1,W01,W09,1,9
292,2007,1326,1462,1,X01,X09,1,9
293,2007,1338,1433,1,Z03,Z11,3,11
294,2007,1401,1257,1,X03,X06,3,6
295,2007,1417,1231,1,Z02,Z07,2,7
296,2007,1435,1450,1,W06,W03,6,3
297,2007,1196,1345,1,Y01,Y09,1,9
298,2007,1242,1246,1,Z01,Z08,1,8
299,2007,1272,1305,1,X02,X07,2,7
300,2007,1332,1457,1,Y03,Y11,3,11
301,2007,1356,1439,1,Z04,Z05,4,5
302,2007,1397,1438,1,X05,X04,5,4
303,2007,1424,1458,1,Y07,Y02,7,2
304,2007,1425,1400,1,W05,W04,5,4
305,2007,1242,1356,1,Z01,Z04,1,4
306,2007,1272,1401,1,X02,X03,2,3
307,2007,1326,1397,1,X01,X05,1,5
308,2007,1417,1338,1,Z02,Z03,2,3
309,2007,1196,1139,1,Y01,Y05,1,5
310,2007,1207,1435,1,W02,W06,2,6
311,2007,1314,1425,1,W01,W05,1,5
312,2007,1332,1424,1,Y03,Y07,3,7
313,2007,1326,1272,1,X01,X02,1,2
314,2007,1417,1242,1,Z02,Z01,2,1
315,2007,1196,1332,1,Y01,Y03,1,3
316,2007,1207,1314,1,W02,W01,2,1
317,2007,1196,1417,1,Y01,Z02,1,2
318,2007,1326,1207,1,X01,W02,1,2
319,2007,1196,1326,1,Y01,X01,1,1
320,2008,1291,1164,1,W16b,W16a,16,16
321,2008,1181,1125,1,Z02,Z15,2,15
322,2008,1242,1340,1,X01,X16,1,16
323,2008,1243,1425,1,X11,X06,11,6
324,2008,1266,1246,1,Y06,Y11,6,11
325,2008,1277,1396,1,Y05,Y12,5,12
326,2008,1323,1206,1,W05,W12,5,12
327,2008,1338,1331,1,Y04,Y13,4,13
328,2008,1345,1124,1,Z06,Z11,6,11
329,2008,1390,1165,1,Y03,Y14,3,14
330,2008,1401,1140,1,Z09,Z08,9,8
331,2008,1417,1290,1,Z01,Z16,1,16
332,2008,1424,1245,1,X08,X09,8,9
333,2008,1450,1457,1,W04,W13,4,13
334,2008,1452,1112,1,Z07,Z10,7,10
335,2008,1458,1168,1,X03,X14,3,14
336,2008,1462,1208,1,Z03,Z14,3,14
337,2008,1116,1231,1,W09,W08,9,8
338,2008,1139,1375,1,W07,W10,7,10
339,2008,1172,1211,1,X10,X07,10,7
340,2008,1207,1420,1,X02,X15,2,15
341,2008,1257,1129,1,W03,W14,3,14
342,2008,1272,1426,1,Y01,Y16,1,16
343,2008,1274,1388,1,Y07,Y10,7,10
344,2008,1280,1332,1,Y08,Y09,8,9
345,2008,1314,1291,1,W01,W16b,1,16
346,2008,1328,1386,1,W06,W11,6,11
347,2008,1360,1163,1,Z13,Z04,13,4
348,2008,1373,1435,1,X13,X04,13,4
349,2008,1397,1110,1,W02,W15,2,15
350,2008,1400,1122,1,Y02,Y15,2,15
351,2008,1437,1155,1,X12,X05,12,5
352,2008,1443,1179,1,Z12,Z05,12,5
353,2008,1242,1424,1,X01,X08,1,8
354,2008,1277,1338,1,Y05,Y04,5,4
355,2008,1390,1266,1,Y03,Y06,3,6
356,2008,1417,1401,1,Z01,Z09,1,9
357,2008,1450,1323,1,W04,W05,4,5
358,2008,1452,1181,1,Z07,Z02,7,2
359,2008,1458,1243,1,X03,X11,3,11
360,2008,1462,1345,1,Z03,Z06,3,6
361,2008,1172,1207,1,X10,X02,10,2
362,2008,1257,1328,1,W03,W06,3,6
363,2008,1272,1280,1,Y01,Y08,1,8
364,2008,1314,1116,1,W01,W09,1,9
365,2008,1397,1139,1,W02,W07,2,7
366,2008,1400,1274,1,Y02,Y07,2,7
367,2008,1437,1373,1,X12,X13,12,13
368,2008,1443,1360,1,Z12,Z13,12,13
369,2008,1257,1397,1,W03,W02,3,2
370,2008,1314,1450,1,W01,W04,1,4
371,2008,1417,1443,1,Z01,Z12,1,12
372,2008,1462,1452,1,Z03,Z07,3,7
373,2008,1172,1458,1,X10,X03,10,3
374,2008,1242,1437,1,X01,X12,1,12
375,2008,1272,1277,1,Y01,Y05,1,5
376,2008,1400,1390,1,Y02,Y03,2,3
377,2008,1314,1257,1,W01,W03,1,3
378,2008,1417,1462,1,Z01,Z03,1,3
379,2008,1242,1172,1,X01,X10,1,10
380,2008,1272,1400,1,Y01,Y02,1,2
381,2008,1242,1314,1,X01,W01,1,1
382,2008,1272,1417,1,Y01,Z01,1,1
383,2008,1242,1272,1,X01,Y01,1,1
384,2009,1287,1106,1,Y16b,Y16a,16,16
385,2009,1163,1151,1,Z01,Z16,1,16
386,2009,1181,1127,1,W02,W15,2,15
387,2009,1211,1103,1,X04,X13,4,13
388,2009,1261,1139,1,X08,X09,8,9
389,2009,1268,1143,1,Z10,Z07,10,7
390,2009,1272,1169,1,Z02,Z15,2,15
391,2009,1276,1155,1,X10,X07,10,7
392,2009,1314,1347,1,X01,X16,1,16
393,2009,1328,1288,1,X02,X15,2,15
394,2009,1345,1320,1,Z05,Z12,5,12
395,2009,1400,1278,1,W07,W10,7,10
396,2009,1401,1140,1,Z09,Z08,9,8
397,2009,1417,1433,1,W06,W11,6,11
398,2009,1437,1110,1,W03,W14,3,14
399,2009,1443,1228,1,X12,X05,12,5
400,2009,1449,1280,1,Z04,Z13,4,13
401,2009,1112,1428,1,Y12,Y05,12,5
402,2009,1113,1396,1,X06,X11,6,11
403,2009,1156,1448,1,Y13,Y04,13,4
404,2009,1173,1452,1,Y11,Y06,11,6
405,2009,1242,1295,1,Y03,Y14,3,14
406,2009,1257,1287,1,Y01,Y16b,1,16
407,2009,1266,1429,1,Z06,Z11,6,11
408,2009,1277,1352,1,Y02,Y15,2,15
409,2009,1281,1165,1,Z03,Z14,3,14
410,2009,1329,1397,1,W08,W09,8,9
411,2009,1338,1190,1,W01,W16,1,16
412,2009,1373,1326,1,Y09,Y08,9,8
413,2009,1393,1372,1,X03,X14,3,14
414,2009,1425,1130,1,Y10,Y07,10,7
415,2009,1458,1199,1,W12,W05,12,5
416,2009,1462,1340,1,W04,W13,4,13
417,2009,1163,1401,1,Z01,Z09,1,9
418,2009,1181,1400,1,W02,W07,2,7
419,2009,1211,1443,1,X04,X12,4,12
420,2009,1272,1268,1,Z02,Z10,2,10
421,2009,1314,1261,1,X01,X08,1,8
422,2009,1328,1276,1,X02,X10,2,10
423,2009,1345,1449,1,Z05,Z04,5,4
424,2009,1437,1417,1,W03,W06,3,6
425,2009,1112,1156,1,Y12,Y13,12,13
426,2009,1242,1173,1,Y03,Y11,3,11
427,2009,1257,1373,1,Y01,Y09,1,9
428,2009,1277,1425,1,Y02,Y10,2,10
429,2009,1281,1266,1,Z03,Z06,3,6
430,2009,1338,1329,1,W01,W08,1,8
431,2009,1393,1113,1,X03,X06,3,6
432,2009,1462,1458,1,W04,W12,4,12
433,2009,1163,1345,1,Z01,Z05,1,5
434,2009,1281,1272,1,Z03,Z02,3,2
435,2009,1338,1462,1,W01,W04,1,4
436,2009,1437,1181,1,W03,W02,3,2
437,2009,1257,1112,1,Y01,Y12,1,12
438,2009,1277,1242,1,Y02,Y03,2,3
439,2009,1314,1211,1,X01,X04,1,4
440,2009,1328,1393,1,X02,X03,2,3
441,2009,1163,1281,1,Z01,Z03,1,3
442,2009,1437,1338,1,W03,W01,3,1
443,2009,1277,1257,1,Y02,Y01,2,1
444,2009,1314,1328,1,X01,X02,1,2
445,2009,1277,1163,1,Y02,Z01,2,1
446,2009,1314,1437,1,X01,W03,1,3
447,2009,1314,1277,1,X01,Y02,1,2
448,2010,1115,1457,1,X16a,X16b,16,16
449,2010,1124,1358,1,X03,X14,3,14
450,2010,1139,1431,1,Z05,Z12,5,12
451,2010,1140,1196,1,Z07,Z10,7,10
452,2010,1242,1250,1,Y01,Y16,1,16
453,2010,1243,1317,1,Z02,Z15,2,15
454,2010,1246,1190,1,W01,W16,1,16
455,2010,1293,1435,1,Z13,Z04,13,4
456,2010,1307,1285,1,W03,W14,3,14
457,2010,1320,1424,1,Y09,Y08,9,8
458,2010,1325,1207,1,Y14,Y03,14,3
459,2010,1330,1323,1,X11,X06,11,6
460,2010,1388,1350,1,X10,X07,10,7
461,2010,1397,1361,1,Y06,Y11,6,11
462,2010,1437,1352,1,X02,X15,2,15
463,2010,1448,1400,1,W09,W08,9,8
464,2010,1449,1266,1,W11,W06,11,6
465,2010,1143,1257,1,X08,X09,8,9
466,2010,1165,1396,1,W12,W05,12,5
467,2010,1181,1115,1,X01,X16a,1,16
468,2010,1210,1329,1,Y10,Y07,10,7
469,2010,1211,1199,1,Z08,Z09,8,9
470,2010,1268,1222,1,Y04,Y13,4,13
471,2010,1277,1308,1,Y05,Y12,5,12
472,2010,1281,1155,1,W10,W07,10,7
473,2010,1326,1364,1,Y02,Y15,2,15
474,2010,1338,1324,1,Z03,Z14,3,14
475,2010,1345,1373,1,X04,X13,4,13
476,2010,1393,1436,1,Z01,Z16,1,16
477,2010,1401,1429,1,X05,X12,5,12
478,2010,1452,1288,1,W02,W15,2,15
479,2010,1458,1459,1,W04,W13,4,13
480,2010,1462,1278,1,Z06,Z11,6,11
481,2010,1124,1330,1,X03,X11,3,11
482,2010,1139,1293,1,Z05,Z13,5,13
483,2010,1243,1140,1,Z02,Z07,2,7
484,2010,1246,1448,1,W01,W09,1,9
485,2010,1320,1242,1,Y09,Y01,9,1
486,2010,1388,1437,1,X10,X02,10,2
487,2010,1397,1325,1,Y06,Y14,6,14
488,2010,1449,1307,1,W11,W03,11,3
489,2010,1165,1458,1,W12,W04,12,4
490,2010,1181,1143,1,X01,X08,1,8
491,2010,1277,1268,1,Y05,Y04,5,4
492,2010,1326,1210,1,Y02,Y10,2,10
493,2010,1345,1401,1,X04,X05,4,5
494,2010,1393,1211,1,Z01,Z08,1,8
495,2010,1452,1281,1,W02,W10,2,10
496,2010,1462,1338,1,Z06,Z03,6,3
497,2010,1139,1393,1,Z05,Z01,5,1
498,2010,1243,1462,1,Z02,Z06,2,6
499,2010,1246,1165,1,W01,W12,1,12
500,2010,1452,1449,1,W02,W11,2,11
501,2010,1124,1388,1,X03,X10,3,10
502,2010,1181,1345,1,X01,X04,1,4
503,2010,1277,1320,1,Y05,Y09,5,9
504,2010,1397,1326,1,Y06,Y02,6,2
505,2010,1139,1243,1,Z05,Z02,5,2
506,2010,1452,1246,1,W02,W01,2,1
507,2010,1181,1124,1,X01,X03,1,3
508,2010,1277,1397,1,Y05,Y06,5,6
509,2010,1139,1277,1,Z05,Y05,5,5
510,2010,1181,1452,1,X01,W02,1,2
511,2010,1181,1139,1,X01,Z05,1,5
512,2011,1155,1412,1,W12a,W12b,12,12
513,2011,1421,1114,1,Y16b,Y16a,16,16
514,2011,1427,1106,1,W16b,W16a,16,16
515,2011,1433,1425,1,Z11b,Z11a,11,11
516,2011,1139,1330,1,Y08,Y09,8,9
517,2011,1140,1459,1,Y03,Y14,3,14
518,2011,1153,1281,1,X06,X11,6,11
519,2011,1163,1137,1,X03,X14,3,14
520,2011,1196,1364,1,Y02,Y15,2,15
521,2011,1211,1385,1,Y11,Y06,11,6
522,2011,1243,1429,1,Y05,Y12,5,12
523,2011,1246,1343,1,W04,W13,4,13
524,2011,1287,1257,1,Z13,Z04,13,4
525,2011,1338,1421,1,Y01,Y16b,1,16
526,2011,1350,1435,1,Z12,Z05,12,5
527,2011,1361,1294,1,X02,X15,2,15
528,2011,1396,1336,1,X07,X10,7,10
529,2011,1417,1277,1,Y07,Y10,7,10
530,2011,1452,1155,1,W05,W12a,5,12
531,2011,1458,1125,1,Y04,Y13,4,13
532,2011,1112,1272,1,X05,X12,5,12
533,2011,1181,1214,1,X01,X16,1,16
534,2011,1199,1401,1,Z10,Z07,10,7
535,2011,1206,1437,1,W08,W09,8,9
536,2011,1228,1424,1,Z09,Z08,9,8
537,2011,1242,1131,1,Z01,Z16,1,16
538,2011,1266,1462,1,W11,W06,11,6
539,2011,1276,1397,1,X08,X09,8,9
540,2011,1314,1254,1,W02,W15,2,15
541,2011,1323,1103,1,Z02,Z15,2,15
542,2011,1326,1427,1,W01,W16b,1,16
543,2011,1345,1389,1,Z03,Z14,3,14
544,2011,1393,1232,1,W03,W14,3,14
545,2011,1400,1324,1,X04,X13,4,13
546,2011,1433,1207,1,Z11b,Z06,11,6
547,2011,1449,1208,1,W07,W10,7,10
548,2011,1139,1338,1,Y08,Y01,8,1
549,2011,1140,1211,1,Y03,Y11,3,11
550,2011,1163,1153,1,X03,X06,3,6
551,2011,1196,1417,1,Y02,Y07,2,7
552,2011,1246,1452,1,W04,W05,4,5
553,2011,1350,1287,1,Z12,Z13,12,13
554,2011,1361,1396,1,X02,X07,2,7
555,2011,1458,1243,1,Y04,Y05,4,5
556,2011,1112,1400,1,X05,X04,5,4
557,2011,1181,1276,1,X01,X08,1,8
558,2011,1199,1323,1,Z10,Z02,10,2
559,2011,1242,1228,1,Z01,Z09,1,9
560,2011,1266,1393,1,W11,W03,11,3
561,2011,1314,1449,1,W02,W07,2,7
562,2011,1326,1206,1,W01,W08,1,8
563,2011,1433,1345,1,Z11b,Z03,11,3
564,2011,1112,1181,1,X05,X01,5,1
565,2011,1139,1458,1,Y08,Y04,8,4
566,2011,1163,1361,1,X03,X02,3,2
567,2011,1196,1140,1,Y02,Y03,2,3
568,2011,1242,1350,1,Z01,Z12,1,12
569,2011,1246,1326,1,W04,W01,4,1
570,2011,1314,1266,1,W02,W11,2,11
571,2011,1433,1199,1,Z11b,Z10,11,10
572,2011,1139,1196,1,Y08,Y02,8,2
573,2011,1163,1112,1,X03,X05,3,5
574,2011,1246,1314,1,W04,W02,4,2
575,2011,1433,1242,1,Z11b,Z01,11,1
576,2011,1139,1433,1,Y08,Z11b,8,11
577,2011,1163,1246,1,X03,W04,3,4
