Season,Team,ELO
1985,1350,1637
1985,1109,1104
1985,1131,1517
1985,1208,1707
1985,1220,1353
1985,1263,1426
1985,1331,1599
1985,1432,1459
1985,1187,1202
1985,1145,1550
1985,1150,1311
1985,1184,1503
1985,1321,1363
1985,1364,1410
1985,1434,1258
1985,1209,1105
1985,1166,1514
1985,1197,1402
1985,1117,1476
1985,1215,1382
1985,1327,1274
1985,1363,1557
1985,1411,1367
1985,1446,1435
1985,1453,1147
1985,1182,1426
1985,1343,1395
1985,1162,1528
1985,1335,1533
1985,1406,1265
1985,1121,1301
1985,1147,1250
1985,1306,1305
1985,1354,1364
1985,1283,1549
1985,1317,1315
1985,1126,1283
1985,1341,1297
1985,1271,1127
1985,1436,1284
1985,1442,1439
1985,1383,1222
1985,1159,1112
1985,1144,1179
1985,1175,1389
1985,1288,1161
1985,1253,1225
1986,1181,2096
1986,1412,1690
1986,1133,1881
1986,1197,1269
1986,1208,1627
1986,1211,1514
1986,1218,1164
1986,1242,2031
1986,1246,1951
1986,1257,2068
1986,1261,1831
1986,1274,1466
1986,1276,1865
1986,1281,1652
1986,1307,1500
1986,1328,1754
1986,1334,1563
1986,1339,1350
1986,1356,1319
1986,1360,1560
1986,1385,1943
1986,1397,1429
1986,1409,1724
1986,1424,1877
1986,1425,1434
1986,1428,1661
1986,1437,1778
1986,1449,1639
1986,1452,1676
1986,1458,1493
1986,1106,1306
1986,1129,1445
1986,1145,1638
1986,1153,1557
1986,1186,1549
1986,1206,1646
1986,1215,1407
1986,1220,1477
1986,1245,1404
1986,1253,1285
1986,1268,1774
1986,1277,1844
1986,1292,1576
1986,1306,1293
1986,1319,1522
1986,1393,1855
1986,1402,1193
1986,1406,1274
1986,1423,1444
1986,1429,1435
1986,1438,1729
1986,1443,1703
1986,1450,1545
1986,1451,1501
1986,1116,1404
1986,1134,1187
1986,1234,1664
1986,1314,1864
1986,1462,1763
1986,1155,1583
1986,1161,1394
1986,1178,1417
1986,1185,1325
1986,1187,1292
1986,1193,1685
1986,1223,1400
1986,1226,1507
1986,1270,1614
1986,1301,1796
1986,1353,1294
1986,1389,1496
1986,1400,1645
1986,1403,1686
1986,1419,1662
1986,1439,1659
1986,1119,1283
1986,1122,1398
1986,1124,1375
1986,1163,1411
1986,1196,1643
1986,1200,1456
1986,1204,1346
1986,1228,1789
1986,1235,1790
1986,1247,1496
1986,1249,1588
1986,1266,1654
1986,1304,1669
1986,1326,1607
1986,1335,1549
1986,1337,1752
1986,1343,1444
1986,1345,1687
1986,1350,1678
1986,1354,1228
1986,1362,1204
1986,1378,1527
1986,1390,1448
1986,1396,1797
1986,1401,1675
1986,1426,1308
1986,1440,1312
1986,1447,1460
1986,1448,1403
1986,1338,1550
1986,1349,1257
1986,1374,1586
1986,1376,1423
1986,1431,1753
1986,1432,1344
1986,1455,1545
1986,1290,1640
1986,1320,1206
1986,1112,1704
1986,1168,1544
1986,1216,1373
1986,1256,1551
1986,1272,1790
1986,1308,1507
1986,1332,1495
1986,1417,1578
1986,1444,1349
1986,1103,1618
1986,1113,1541
1986,1117,1548
1986,1130,1514
1986,1135,1481
1986,1137,1430
1986,1149,1502
1986,1152,1657
1986,1160,1345
1986,1162,1364
1986,1174,1276
1986,1177,1703
1986,1182,1530
1986,1201,1478
1986,1209,1196
1986,1212,1329
1986,1217,1207
1986,1225,1351
1986,1231,1790
1986,1248,1395
1986,1258,1521
1986,1260,1572
1986,1280,1501
1986,1309,1508
1986,1323,1817
1986,1331,1420
1986,1364,1469
1986,1368,1371
1986,1373,1616
1986,1383,1194
1986,1384,1266
1986,1387,1588
1986,1391,1306
1986,1395,1648
1986,1399,1431
1986,1416,1190
1986,1433,1596
1986,1435,1510
1986,1456,1371
1986,1463,1411
1986,1375,1483
1986,1104,1820
1986,1121,1288
1986,1131,1692
1986,1156,1825
1986,1184,1318
1986,1191,1307
1986,1203,1436
1986,1210,1899
1986,1221,1472
1986,1229,1588
1986,1238,1354
1986,1273,1421
1986,1278,1490
1986,1285,1580
1986,1286,1577
1986,1310,1486
1986,1344,1635
1986,1379,1616
1986,1380,1519
1986,1405,1481
1986,1414,1580
1986,1120,1841
1986,1165,1467
1986,1207,1801
1986,1325,1703
1986,1363,1495
1986,1371,1500
1986,1410,1568
1986,1114,1679
1986,1180,1596
1986,1199,1536
1986,1232,1372
1986,1250,1289
1986,1259,1426
1986,1275,1690
1986,1287,1162
1986,1298,1916
1986,1321,1339
1986,1347,1340
1986,1348,1303
1986,1143,1626
1986,1154,1377
1986,1175,1258
1986,1222,1514
1986,1311,1277
1986,1318,1802
1986,1322,1448
1986,1192,1576
1986,1233,1496
1986,1102,1312
1986,1110,1316
1986,1111,1521
1986,1123,1652
1986,1140,1575
1986,1151,1590
1986,1173,1649
1986,1179,1576
1986,1243,1556
1986,1267,1530
1986,1269,1343
1986,1271,1123
1986,1279,1461
1986,1283,1567
1986,1293,1442
1986,1329,1601
1986,1352,1297
1986,1386,1808
1986,1388,1278
1986,1418,1519
1986,1442,1335
1986,1150,1340
1986,1241,1259
1986,1299,1599
1986,1330,1781
1986,1461,1671
1986,1164,1244
1986,1224,1416
1986,1254,1211
1986,1317,1374
1986,1382,1464
1986,1333,1489
1986,1446,1397
1986,1144,1153
1986,1172,1560
1986,1183,1515
1986,1239,1791
1986,1264,1126
1986,1265,1581
1986,1336,1372
1986,1359,1433
1986,1441,1475
1986,1464,1424
1986,1166,1490
1986,1190,1372
1986,1305,1475
1986,1296,1518
1986,1398,1450
1986,1109,1117
1986,1132,1273
1986,1263,1330
1986,1361,1450
1986,1436,1274
1986,1126,1193
1986,1365,1485
1986,1141,1414
1986,1202,1322
1986,1108,1601
1986,1227,1401
1986,1171,1351
1986,1351,1268
1986,1411,1319
1986,1284,1293
1986,1147,1425
1986,1288,1227
1986,1453,1185
1986,1427,1221
1986,1139,1298
1986,1341,1194
1986,1434,1252
1987,1272,1837
1987,1276,1768
1987,1328,1763
1987,1395,1764
1987,1396,1879
1987,1424,2019
1987,1437,1610
1987,1443,1765
1987,1301,1757
1987,1104,1942
1987,1116,1583
1987,1120,1713
1987,1130,1523
1987,1131,1604
1987,1155,1777
1987,1160,1498
1987,1171,1398
1987,1179,1494
1987,1197,1291
1987,1199,1640
1987,1200,1418
1987,1201,1355
1987,1210,1705
1987,1220,1284
1987,1225,1382
1987,1228,1815
1987,1270,1539
1987,1274,1458
1987,1277,1551
1987,1281,1819
1987,1292,1625
1987,1298,1818
1987,1307,1701
1987,1314,2003
1987,1318,1775
1987,1321,1357
1987,1336,1463
1987,1344,1916
1987,1345,1875
1987,1348,1617
1987,1350,1562
1987,1360,1699
1987,1365,1548
1987,1375,1531
1987,1385,1798
1987,1387,1614
1987,1397,1614
1987,1398,1488
1987,1403,1585
1987,1409,1669
1987,1414,1513
1987,1429,1476
1987,1435,1571
1987,1450,1448
1987,1457,1244
1987,1463,1402
1987,1464,1327
1987,1110,1394
1987,1129,1589
1987,1135,1291
1987,1145,1503
1987,1148,1244
1987,1151,1629
1987,1154,1368
1987,1163,1450
1987,1177,1900
1987,1180,1425
1987,1185,1497
1987,1186,1242
1987,1203,1357
1987,1218,1230
1987,1227,1509
1987,1229,1598
1987,1231,2047
1987,1234,1921
1987,1235,1565
1987,1238,1423
1987,1239,1653
1987,1245,1564
1987,1246,1694
1987,1247,1550
1987,1248,1485
1987,1250,1411
1987,1283,1802
1987,1290,1407
1987,1305,1508
1987,1309,1832
1987,1319,1396
1987,1320,1401
1987,1326,1703
1987,1330,1356
1987,1331,1432
1987,1332,1552
1987,1333,1513
1987,1337,1500
1987,1339,1400
1987,1353,1362
1987,1354,1303
1987,1371,1550
1987,1374,1614
1987,1380,1570
1987,1390,1549
1987,1393,1985
1987,1410,1453
1987,1417,1842
1987,1423,1614
1987,1433,1505
1987,1449,1635
1987,1452,1745
1987,1455,1704
1987,1458,1522
1987,1461,1812
1987,1150,1546
1987,1208,1646
1987,1400,1516
1987,1434,1271
1987,1184,1581
1987,1187,1350
1987,1191,1528
1987,1196,1741
1987,1222,1592
1987,1241,1602
1987,1242,1818
1987,1249,1503
1987,1264,1124
1987,1266,1596
1987,1273,1260
1987,1299,1667
1987,1304,1669
1987,1306,1130
1987,1322,1340
1987,1325,1450
1987,1329,1475
1987,1334,1376
1987,1356,1459
1987,1362,1445
1987,1364,1560
1987,1379,1584
1987,1402,1289
1987,1448,1579
1987,1143,1583
1987,1166,1381
1987,1216,1414
1987,1233,1507
1987,1260,1541
1987,1308,1536
1987,1363,1618
1987,1373,1550
1987,1405,1310
1987,1420,1372
1987,1425,1381
1987,1103,1593
1987,1139,1356
1987,1140,1653
1987,1153,1452
1987,1156,1714
1987,1162,1395
1987,1181,1820
1987,1207,1985
1987,1226,1521
1987,1232,1343
1987,1253,1386
1987,1275,1447
1987,1288,1178
1987,1310,1604
1987,1338,1811
1987,1352,1288
1987,1383,1263
1987,1427,1348
1987,1431,1778
1987,1438,1816
1987,1112,1634
1987,1224,1640
1987,1243,1722
1987,1261,1830
1987,1263,1340
1987,1268,1501
1987,1269,1432
1987,1278,1350
1987,1323,1887
1987,1401,1605
1987,1442,1285
1987,1113,1514
1987,1122,1681
1987,1137,1614
1987,1157,1348
1987,1204,1551
1987,1258,1391
1987,1265,1657
1987,1267,1738
1987,1286,1601
1987,1349,1311
1987,1106,1300
1987,1141,1692
1987,1174,1263
1987,1175,1063
1987,1182,1416
1987,1206,1493
1987,1215,1345
1987,1217,1244
1987,1257,1729
1987,1279,1573
1987,1285,1444
1987,1296,1308
1987,1311,1253
1987,1347,1355
1987,1358,1493
1987,1372,1633
1987,1376,1563
1987,1386,1523
1987,1389,1614
1987,1391,1527
1987,1406,1348
1987,1428,1537
1987,1432,1261
1987,1440,1322
1987,1259,1405
1987,1102,1368
1987,1117,1610
1987,1118,1189
1987,1126,1247
1987,1147,1221
1987,1161,1423
1987,1193,1505
1987,1343,1566
1987,1382,1212
1987,1418,1372
1987,1419,1434
1987,1421,1444
1987,1444,1376
1987,1149,1579
1987,1152,1327
1987,1121,1189
1987,1124,1637
1987,1192,1528
1987,1211,1516
1987,1436,1148
1987,1254,1319
1987,1114,1586
1987,1123,1296
1987,1168,1626
1987,1223,1480
1987,1287,1373
1987,1412,1720
1987,1426,1231
1987,1132,1541
1987,1133,1664
1987,1173,1548
1987,1202,1495
1987,1256,1742
1987,1317,1394
1987,1341,1186
1987,1439,1497
1987,1447,1417
1987,1388,1503
1987,1172,1585
1987,1368,1282
1987,1134,1152
1987,1378,1363
1987,1416,1340
1987,1293,1417
1987,1109,1244
1987,1462,1651
1987,1119,1455
1987,1165,1482
1987,1212,1495
1987,1178,1316
1987,1361,1277
1987,1453,1482
1987,1108,1234
1987,1284,1188
1987,1335,1541
1987,1359,1111
1987,1183,1339
1987,1441,1346
1987,1144,1476
1987,1164,1216
1987,1209,1276
1987,1411,1280
1987,1221,1289
1987,1456,1223
1987,1384,1247
1987,1190,1188
1987,1351,1373
1987,1280,1384
1987,1451,1343
1987,1159,1126
1987,1111,1282
1987,1399,1278
1988,1196,1715
1988,1210,1757
1988,1235,1627
1988,1292,1589
1988,1307,1591
1988,1345,1941
1988,1371,1790
1988,1417,1657
1988,1314,1929
1988,1104,1582
1988,1112,1991
1988,1113,1369
1988,1116,1632
1988,1120,1751
1988,1137,1498
1988,1140,1738
1988,1147,1370
1988,1155,1649
1988,1160,1476
1988,1174,1457
1988,1192,1611
1988,1197,1474
1988,1201,1396
1988,1208,1715
1988,1222,1669
1988,1225,1493
1988,1228,1832
1988,1234,1829
1988,1243,1886
1988,1247,1722
1988,1256,1722
1988,1264,1152
1988,1268,1726
1988,1276,1834
1988,1277,1486
1988,1279,1608
1988,1322,1357
1988,1344,1562
1988,1348,1794
1988,1349,1282
1988,1350,1802
1988,1364,1663
1988,1387,1488
1988,1412,1561
1988,1414,1597
1988,1428,1670
1988,1435,1715
1988,1437,1847
1988,1438,1549
1988,1450,1527
1988,1119,1301
1988,1124,1712
1988,1129,1700
1988,1130,1640
1988,1131,1640
1988,1135,1211
1988,1141,1528
1988,1143,1402
1988,1154,1362
1988,1163,1592
1988,1171,1502
1988,1179,1386
1988,1181,1968
1988,1191,1634
1988,1199,1667
1988,1200,1543
1988,1203,1435
1988,1204,1660
1988,1211,1527
1988,1231,1783
1988,1233,1303
1988,1246,1895
1988,1248,1555
1988,1250,1587
1988,1258,1863
1988,1260,1469
1988,1272,1758
1988,1274,1530
1988,1283,1733
1988,1309,1652
1988,1317,1618
1988,1328,2021
1988,1330,1581
1988,1332,1598
1988,1337,1569
1988,1338,1826
1988,1353,1357
1988,1361,1477
1988,1372,1306
1988,1374,1814
1988,1385,1625
1988,1386,1582
1988,1389,1534
1988,1393,1886
1988,1418,1391
1988,1427,1663
1988,1433,1638
1988,1458,1549
1988,1460,1411
1988,1117,1591
1988,1217,1323
1988,1362,1426
1988,1390,1659
1988,1402,1283
1988,1409,1393
1988,1123,1416
1988,1148,1277
1988,1164,1301
1988,1184,1544
1988,1198,1356
1988,1221,1463
1988,1275,1435
1988,1278,1463
1988,1287,1185
1988,1301,1831
1988,1321,1339
1988,1331,1369
1988,1356,1473
1988,1373,1628
1988,1376,1692
1988,1391,1387
1988,1395,1363
1988,1400,1616
1988,1401,1514
1988,1403,1369
1988,1419,1561
1988,1439,1667
1988,1457,1450
1988,1177,1807
1988,1266,1384
1988,1326,1651
1988,1334,1168
1988,1358,1477
1988,1365,1651
1988,1410,1432
1988,1106,1225
1988,1109,1334
1988,1134,1144
1988,1156,1653
1988,1165,1530
1988,1173,1438
1988,1249,1555
1988,1280,1545
1988,1285,1454
1988,1299,1736
1988,1304,1480
1988,1325,1543
1988,1347,1428
1988,1359,1243
1988,1379,1591
1988,1405,1412
1988,1420,1361
1988,1421,1292
1988,1443,1446
1988,1449,1471
1988,1453,1571
1988,1461,1849
1988,1133,1805
1988,1150,1726
1988,1153,1457
1988,1183,1565
1988,1242,1984
1988,1396,2001
1988,1397,1640
1988,1426,1250
1988,1444,1408
1988,1448,1505
1988,1103,1628
1988,1114,1673
1988,1144,1246
1988,1151,1554
1988,1180,1470
1988,1185,1679
1988,1193,1290
1988,1224,1370
1988,1261,1664
1988,1265,1565
1988,1267,1666
1988,1281,1711
1988,1310,1499
1988,1360,1380
1988,1380,1636
1988,1398,1300
1988,1411,1480
1988,1416,1239
1988,1431,1693
1988,1442,1457
1988,1451,1387
1988,1108,1262
1988,1110,1498
1988,1111,1373
1988,1122,1574
1988,1152,1275
1988,1161,1630
1988,1172,1417
1988,1175,987
1988,1202,1474
1988,1206,1598
1988,1207,1785
1988,1212,1481
1988,1226,1498
1988,1232,1302
1988,1239,1364
1988,1241,1435
1988,1286,1590
1988,1318,1444
1988,1323,1717
1988,1333,1698
1988,1335,1414
1988,1343,1530
1988,1382,1400
1988,1383,1211
1988,1399,1338
1988,1406,1393
1988,1429,1699
1988,1452,1547
1988,1464,1171
1988,1463,1488
1988,1166,1501
1988,1216,1488
1988,1271,1117
1988,1293,1744
1988,1354,1358
1988,1375,1584
1988,1139,1475
1988,1162,1184
1988,1182,1415
1988,1187,1248
1988,1424,1804
1988,1462,1795
1988,1157,1453
1988,1253,1580
1988,1273,1410
1988,1288,1247
1988,1352,1334
1988,1447,1125
1988,1149,1445
1988,1168,1567
1988,1269,1313
1988,1329,1545
1988,1284,1416
1988,1320,1281
1988,1336,1482
1988,1132,1438
1988,1229,1643
1988,1245,1321
1988,1254,1324
1988,1259,1190
1988,1263,1395
1988,1305,1437
1988,1308,1503
1988,1311,1188
1988,1363,1512
1988,1388,1611
1988,1434,1360
1988,1455,1655
1988,1223,1263
1988,1257,1890
1988,1378,1362
1988,1270,1331
1988,1423,1508
1988,1218,1276
1988,1296,1305
1988,1102,1324
1988,1227,1316
1988,1425,1348
1988,1339,1231
1988,1351,1352
1988,1186,1166
1988,1440,1419
1988,1441,1220
1988,1456,1371
1988,1298,1480
1988,1319,1408
1988,1190,1401
1988,1368,1153
1988,1436,1017
1988,1215,1447
1988,1126,1223
1988,1145,1295
1988,1121,1233
1988,1238,1396
1988,1306,1144
1988,1220,1211
1988,1209,1241
1988,1341,1151
1988,1159,1089
1988,1290,1286
1988,1384,1195
1988,1178,1363
1989,1208,1559
1989,1231,1905
1989,1281,1914
1989,1314,1906
1989,1390,1857
1989,1393,1954
1989,1461,1538
1989,1462,1696
1989,1181,1937
1989,1104,1819
1989,1122,1552
1989,1126,1335
1989,1139,1426
1989,1140,1590
1989,1143,1620
1989,1147,1494
1989,1172,1152
1989,1199,1711
1989,1204,1675
1989,1209,1419
1989,1210,1734
1989,1211,1453
1989,1218,1637
1989,1225,1731
1989,1226,1318
1989,1246,1542
1989,1260,1411
1989,1261,1666
1989,1266,1493
1989,1268,1513
1989,1274,1583
1989,1276,2042
1989,1322,1332
1989,1328,1939
1989,1344,1654
1989,1350,1677
1989,1353,1687
1989,1356,1558
1989,1359,1278
1989,1362,1576
1989,1364,1642
1989,1371,1973
1989,1375,1736
1989,1381,1317
1989,1385,1619
1989,1397,1699
1989,1400,1740
1989,1424,1926
1989,1425,1394
1989,1438,1855
1989,1443,1446
1989,1103,1647
1989,1109,1286
1989,1113,1415
1989,1119,1328
1989,1120,1409
1989,1123,1846
1989,1130,1607
1989,1132,1443
1989,1135,1156
1989,1163,1668
1989,1171,1504
1989,1173,1422
1989,1175,1218
1989,1178,1331
1989,1198,1330
1989,1201,1515
1989,1220,1461
1989,1222,1546
1989,1228,2012
1989,1229,1511
1989,1232,1181
1989,1234,1791
1989,1242,1684
1989,1243,1748
1989,1248,1509
1989,1251,1268
1989,1256,1761
1989,1283,1630
1989,1286,1452
1989,1298,1276
1989,1301,1788
1989,1304,1593
1989,1307,1674
1989,1308,1698
1989,1310,1286
1989,1318,1460
1989,1326,1583
1989,1333,1777
1989,1336,1653
1989,1338,1781
1989,1352,1473
1989,1354,1607
1989,1360,1326
1989,1361,1421
1989,1387,1652
1989,1389,1679
1989,1391,1516
1989,1401,1628
1989,1414,1476
1989,1417,1772
1989,1420,1391
1989,1428,1524
1989,1450,1443
1989,1455,1603
1989,1458,1664
1989,1463,1298
1989,1116,1817
1989,1191,1764
1989,1196,1791
1989,1250,1312
1989,1263,1232
1989,1437,1685
1989,1449,1557
1989,1141,1412
1989,1150,1608
1989,1155,1751
1989,1216,1500
1989,1270,1500
1989,1277,1646
1989,1280,1571
1989,1291,1382
1989,1293,1577
1989,1296,1364
1989,1311,1194
1989,1323,1745
1989,1365,1655
1989,1373,1747
1989,1383,1291
1989,1386,1357
1989,1421,1455
1989,1427,1360
1989,1431,1812
1989,1451,1511
1989,1106,1352
1989,1148,1215
1989,1162,1206
1989,1227,1385
1989,1241,1401
1989,1278,1767
1989,1306,1121
1989,1329,1619
1989,1345,1716
1989,1423,1525
1989,1111,1493
1989,1112,2018
1989,1114,1682
1989,1131,1596
1989,1134,974
1989,1137,1638
1989,1161,1793
1989,1177,1773
1989,1221,1367
1989,1235,1723
1989,1245,1665
1989,1279,1590
1989,1305,1492
1989,1330,1483
1989,1331,1460
1989,1343,1553
1989,1348,1489
1989,1349,1459
1989,1379,1486
1989,1395,1542
1989,1435,1702
1989,1447,1233
1989,1448,1560
1989,1453,1418
1989,1154,1457
1989,1168,1615
1989,1200,1498
1989,1233,1529
1989,1285,1556
1989,1337,1608
1989,1426,1278
1989,1444,1380
1989,1452,1782
1989,1153,1620
1989,1164,1476
1989,1166,1662
1989,1197,1515
1989,1238,1353
1989,1239,1486
1989,1247,1794
1989,1264,1277
1989,1284,1356
1989,1309,1706
1989,1363,1205
1989,1372,1261
1989,1402,1305
1989,1405,1477
1989,1117,1561
1989,1124,1280
1989,1129,1718
1989,1133,1570
1989,1145,1383
1989,1156,1671
1989,1160,1435
1989,1182,1434
1989,1187,1450
1989,1190,1587
1989,1202,1541
1989,1223,1347
1989,1257,1871
1989,1265,1364
1989,1288,1375
1989,1290,1208
1989,1299,1283
1989,1317,1434
1989,1334,1275
1989,1335,1442
1989,1351,1187
1989,1374,1517
1989,1376,1670
1989,1378,1257
1989,1382,1389
1989,1388,1721
1989,1409,1624
1989,1410,1410
1989,1412,1573
1989,1418,1513
1989,1419,1462
1989,1429,1513
1989,1439,1527
1989,1457,1341
1989,1460,1391
1989,1272,1751
1989,1102,1478
1989,1144,1431
1989,1249,1386
1989,1253,1532
1989,1287,1377
1989,1321,1436
1989,1403,1497
1989,1406,1551
1989,1179,1495
1989,1206,1654
1989,1332,1334
1989,1347,1250
1989,1110,1449
1989,1185,1520
1989,1267,1530
1989,1269,1289
1989,1273,1428
1989,1275,1468
1989,1325,1439
1989,1193,1271
1989,1411,1497
1989,1442,1331
1989,1151,1601
1989,1319,1123
1989,1384,1285
1989,1157,1406
1989,1174,1340
1989,1180,1314
1989,1212,1485
1989,1217,1343
1989,1292,1689
1989,1320,1485
1989,1433,1507
1989,1434,1409
1989,1396,1681
1989,1192,1465
1989,1207,1971
1989,1358,1481
1989,1380,1559
1989,1441,1373
1989,1183,1491
1989,1259,1198
1989,1399,1201
1989,1258,1718
1989,1159,1219
1989,1186,1322
1989,1152,1290
1989,1224,1199
1989,1341,1258
1989,1464,1103
1989,1416,1141
1989,1456,1196
1989,1215,1260
1989,1121,1112
1989,1254,1302
1989,1398,1162
1989,1165,1421
1989,1184,1281
1989,1271,976
1989,1440,1352
1989,1149,1295
1989,1436,1143
1989,1108,1173
1989,1339,1191
1989,1203,1117
1989,1368,1079
1990,1143,1744
1990,1177,1710
1990,1222,1781
1990,1242,1855
1990,1261,1733
1990,1301,1686
1990,1385,1751
1990,1424,2094
1990,1375,1381
1990,1210,2000
1990,1206,1543
1990,1268,1687
1990,1104,1843
1990,1109,1344
1990,1116,1916
1990,1132,1593
1990,1140,1640
1990,1147,1614
1990,1160,1514
1990,1185,1605
1990,1197,1460
1990,1201,1419
1990,1234,1578
1990,1243,1641
1990,1247,1896
1990,1249,1312
1990,1267,1470
1990,1272,1667
1990,1277,1988
1990,1280,1590
1990,1281,1800
1990,1284,1476
1990,1285,1535
1990,1307,1702
1990,1314,1817
1990,1319,1198
1990,1333,1751
1990,1344,1690
1990,1345,1827
1990,1374,1451
1990,1391,1488
1990,1395,1554
1990,1397,1597
1990,1401,1497
1990,1418,1608
1990,1427,1555
1990,1433,1456
1990,1437,1716
1990,1438,1798
1990,1102,1511
1990,1111,1565
1990,1112,1926
1990,1117,1482
1990,1119,1352
1990,1122,1332
1990,1124,1558
1990,1130,1407
1990,1131,1564
1990,1153,1630
1990,1155,1852
1990,1161,1674
1990,1163,1962
1990,1173,1785
1990,1178,1340
1990,1181,1949
1990,1200,1596
1990,1203,1417
1990,1226,1231
1990,1231,1724
1990,1233,1446
1990,1235,1549
1990,1239,1529
1990,1241,1604
1990,1248,1389
1990,1253,1777
1990,1256,1697
1990,1258,1855
1990,1263,1326
1990,1264,1307
1990,1283,1745
1990,1304,1472
1990,1325,1414
1990,1335,1385
1990,1352,1623
1990,1358,1303
1990,1362,1288
1990,1364,1741
1990,1380,1583
1990,1382,1260
1990,1383,1255
1990,1384,1404
1990,1417,1774
1990,1420,1268
1990,1423,1240
1990,1426,1347
1990,1442,1473
1990,1444,1287
1990,1448,1643
1990,1453,1733
1990,1458,1572
1990,1218,1707
1990,1257,1848
1990,1356,1740
1990,1110,1574
1990,1150,1569
1990,1164,1650
1990,1165,1314
1990,1168,1464
1990,1175,1309
1990,1180,1404
1990,1183,1322
1990,1196,1372
1990,1208,1698
1990,1221,1646
1990,1229,1708
1990,1265,1437
1990,1274,1479
