	index	StrengthPoints	Wins	Wins last 40 days	ast	blk	dr	fga	fga3	fgm	fgm3	fta	ftm	losses	or	pf	points_against	points_for	stl	to	Season	TeamID
19	20031124	11.0	14.0	4.0	398.0	83.0	649.0	1624.0	743.0	661.0	254.0	491.0	356.0	14.0	328.0	441.0	1915.0	1932.0	233.0	372.0	2003	1124
20	20031125	0.0	16.0	5.0	473.0	48.0	662.0	1533.0	623.0	714.0	229.0	530.0	372.0	12.0	295.0	514.0	1980.0	2029.0	254.0	474.0	2003	1125
21	20031126	0.0	8.0	4.0	329.0	54.0	613.0	1677.0	478.0	693.0	171.0	554.0	384.0	22.0	369.0	583.0	2187.0	1941.0	248.0	476.0	2003	1126
22	20031127	1.0	14.0	3.0	343.0	175.0	654.0	1544.0	592.0	649.0	207.0	432.0	292.0	13.0	316.0	493.0	1787.0	1797.0	174.0	407.0	2003	1127
23	20031128	1.0	17.0	6.0	348.0	103.0	558.0	1294.0	563.0	573.0	200.0	578.0	418.0	9.0	277.0	470.0	1682.0	1764.0	205.0	407.0	2003	1128
24	20031129	4.0	12.0	3.0	326.0	107.0	614.0	1573.0	487.0	646.0	145.0	585.0	408.0	16.0	313.0	546.0	1874.0	1845.0	186.0	403.0	2003	1129
25	20031130	20.0	18.0	8.0	493.0	84.0	640.0	1730.0	505.0	811.0	174.0	744.0	514.0	11.0	400.0	550.0	2214.0	2310.0	203.0	387.0	2003	1130
26	20031131	1.0	20.0	8.0	407.0	104.0	732.0	1647.0	580.0	709.0	197.0	576.0	428.0	10.0	330.0	605.0	1898.0	2043.0	171.0	401.0	2003	1131
27	20031132	0.0	11.0	3.0	344.0	68.0	597.0	1306.0	462.0	573.0	169.0	651.0	480.0	16.0	234.0	599.0	1907.0	1795.0	193.0	450.0	2003	1132
28	20031133	6.0	11.0	5.0	364.0	49.0	674.0	1643.0	515.0	717.0	185.0	679.0	478.0	18.0	319.0	590.0	2099.0	2097.0	216.0	411.0	2003	1133
29	20031135	0.0	17.0	8.0	408.0	103.0	654.0	1480.0	497.0	683.0	184.0	700.0	521.0	11.0	267.0	493.0	2018.0	2071.0	214.0	439.0	2003	1135
30	20031137	0.0	13.0	4.0	327.0	60.0	617.0	1316.0	482.0	532.0	163.0	609.0	388.0	15.0	272.0	498.0	1661.0	1615.0	162.0	443.0	2003	1137
31	20031138	0.0	5.0	2.0	354.0	58.0	634.0	1622.0	517.0	652.0	151.0	536.0	360.0	23.0	380.0	636.0	2022.0	1815.0	180.0	406.0	2003	1138
32	20031139	9.0	24.0	8.0	376.0	54.0	591.0	1469.0	634.0	698.0	246.0	480.0	347.0	5.0	227.0	466.0	1767.0	1989.0	184.0	302.0	2003	1139
33	20031140	19.0	23.0	8.0	416.0	78.0	757.0	1589.0	500.0	745.0	192.0	749.0	564.0	8.0	337.0	664.0	1974.0	2246.0	215.0	426.0	2003	1140
34	20031141	0.0	23.0	11.0	453.0	116.0	675.0	1528.0	520.0	772.0	198.0	730.0	559.0	6.0	307.0	608.0	2124.0	2301.0	206.0	529.0	2003	1141
35	20031142	0.0	15.0	7.0	361.0	111.0	678.0	1611.0	586.0	684.0	186.0	564.0	404.0	14.0	334.0	564.0	1983.0	1958.0	202.0	459.0	2003	1142
36	20031143	38.0	21.0	7.0	464.0	81.0	707.0	1703.0	494.0	793.0	186.0	566.0	388.0	8.0	326.0	496.0	2023.0	2160.0	190.0	411.0	2003	1143
37	20031144	0.0	4.0	1.0	377.0	71.0	516.0	1354.0	466.0	597.0	163.0	478.0	334.0	22.0	204.0	431.0	2034.0	1691.0	161.0	416.0	2003	1144
38	20031145	0.0	10.0	2.0	438.0	95.0	707.0	1684.0	483.0	739.0	166.0	458.0	323.0	18.0	322.0	542.0	1992.0	1967.0	228.0	401.0	2003	1145
39	20031147	0.0	10.0	2.0	289.0	89.0	444.0	1345.0	326.0	609.0	104.0	547.0	421.0	14.0	265.0	490.0	1869.0	1743.0	195.0	386.0	2003	1147
40	20031148	0.0	15.0	5.0	321.0	46.0	613.0	1479.0	399.0	684.0	150.0	499.0	373.0	13.0	322.0	435.0	1879.0	1891.0	162.0	433.0	2003	1148
41	20031149	1.0	12.0	3.0	324.0	83.0	553.0	1432.0	359.0	633.0	100.0	424.0	316.0	14.0	280.0	500.0	1716.0	1682.0	254.0	381.0	2003	1149
42	20031150	15.0	13.0	5.0	421.0	59.0	675.0	1744.0	694.0	691.0	231.0	587.0	372.0	16.0	425.0	532.0	2027.0	1985.0	246.0	398.0	2003	1150
43	20031151	7.0	19.0	6.0	453.0	89.0	646.0	1608.0	567.0	770.0	209.0	640.0	486.0	9.0	353.0	520.0	2117.0	2235.0	200.0	461.0	2003	1151
44	20031152	1.0	3.0		363.0	50.0	622.0	1597.0	343.0	706.0	114.0	599.0	370.0	27.0	361.0	661.0	2249.0	1896.0	216.0	523.0	2003	1152
45	20031153	33.0	17.0	4.0	344.0	119.0	655.0	1587.0	546.0	641.0	187.0	603.0	416.0	11.0	340.0	531.0	1722.0	1885.0	145.0	297.0	2003	1153
46	20031154	0.0	4.0		314.0	73.0	520.0	1306.0	472.0	523.0	148.0	482.0	320.0	20.0	264.0	483.0	1713.0	1514.0	179.0	392.0	2003	1154
47	20031155	9.0	15.0	4.0	351.0	74.0	628.0	1551.0	389.0	685.0	135.0	626.0	411.0	13.0	376.0	535.0	1907.0	1916.0	199.0	377.0	2003	1155
48	20031156	0.0	8.0	1.0	406.0	133.0	630.0	1540.0	477.0	687.0	177.0	634.0	418.0	22.0	313.0	584.0	2196.0	1969.0	212.0	517.0	2003	1156
49	20031157	2.0	11.0	3.0	318.0	41.0	575.0	1429.0	415.0	621.0	153.0	483.0	354.0	15.0	347.0	551.0	1817.0	1749.0	162.0	438.0	2003	1157
50	20031158	11.0	22.0	7.0	419.0	127.0	694.0	1683.0	673.0	734.0	263.0	578.0	396.0	7.0	316.0	549.0	1991.0	2127.0	213.0	408.0	2003	1158
51	20031159	0.0	12.0	5.0	363.0	44.0	569.0	1467.0	485.0	636.0	171.0	392.0	270.0	14.0	275.0	498.0	1762.0	1713.0	179.0	372.0	2003	1159
52	20031160	62.0	20.0	7.0	415.0	206.0	867.0	1901.0	473.0	843.0	154.0	742.0	501.0	11.0	449.0	549.0	2172.0	2341.0	190.0	434.0	2003	1160
53	20031161	13.0	17.0	5.0	465.0	127.0	704.0	1563.0	347.0	792.0	126.0	728.0	510.0	13.0	324.0	617.0	2180.0	2220.0	160.0	484.0	2003	1161
54	20031162	0.0	2.0		262.0	93.0	584.0	1226.0	449.0	457.0	136.0	432.0	290.0	25.0	255.0	493.0	1676.0	1340.0	140.0	461.0	2003	1162
55	20031163	43.0	21.0	8.0	469.0	232.0	837.0	1866.0	471.0	886.0	182.0	663.0	447.0	9.0	443.0	552.0	2142.0	2401.0	178.0	474.0	2003	1163
56	20031164	1.0	11.0	5.0	258.0	58.0	544.0	1350.0	316.0	590.0	124.0	439.0	321.0	17.0	259.0	440.0	1726.0	1625.0	205.0	416.0	2003	1164
57	20031165	0.0	8.0	2.0	336.0	55.0	576.0	1306.0	483.0	555.0	162.0	449.0	286.0	18.0	242.0	477.0	1765.0	1558.0	190.0	402.0	2003	1165
58	20031166	30.0	29.0	9.0	555.0	147.0	765.0	1896.0	676.0	947.0	263.0	661.0	458.0	4.0	359.0	570.0	2123.0	2615.0	277.0	441.0	2003	1166
59	20031168	0.0	10.0	4.0	339.0	44.0	561.0	1502.0	399.0	660.0	138.0	566.0	367.0	19.0	350.0	522.0	1933.0	1825.0	172.0	384.0	2003	1168
60	20031169	4.0	13.0	5.0	357.0	56.0	622.0	1523.0	481.0	681.0	170.0	601.0	424.0	15.0	348.0	638.0	1958.0	1956.0	239.0	479.0	2003	1169
61	20031170	0.0	11.0	4.0	363.0	82.0	617.0	1559.0	521.0	640.0	161.0	582.0	391.0	17.0	304.0	599.0	2041.0	1832.0	235.0	458.0	2003	1170
62	20031171	0.0	7.0	4.0	352.0	62.0	555.0	1288.0	593.0	532.0	212.0	375.0	264.0	19.0	176.0	483.0	1675.0	1540.0	158.0	323.0	2003	1171
63	20031172	2.0	14.0	5.0	384.0	39.0	681.0	1402.0	563.0	632.0	220.0	455.0	352.0	10.0	284.0	489.0	1777.0	1836.0	135.0	453.0	2003	1172
64	20031173	49.0	24.0	9.0	441.0	85.0	672.0	1572.0	605.0	710.0	218.0	661.0	473.0	5.0	391.0	510.0	1923.0	2111.0	156.0	386.0	2003	1173
65	20031174	6.0	15.0	4.0	407.0	108.0	707.0	1719.0	598.0	702.0	202.0	544.0	384.0	14.0	320.0	554.0	1981.0	1990.0	231.0	389.0	2003	1174
66	20031175	3.0	15.0	6.0	328.0	91.0	522.0	1342.0	484.0	592.0	178.0	463.0	318.0	12.0	287.0	493.0	1690.0	1680.0	180.0	370.0	2003	1175
67	20031176	0.0	17.0	5.0	460.0	54.0	776.0	1909.0	720.0	778.0	249.0	636.0	463.0	15.0	409.0	613.0	2210.0	2268.0	229.0	426.0	2003	1176
68	20031177	28.0	16.0	5.0	360.0	59.0	689.0	1487.0	373.0	654.0	124.0	612.0	445.0	12.0	345.0	509.0	1798.0	1877.0	161.0	407.0	2003	1177
69	20031178	4.0	17.0	7.0	388.0	74.0	647.0	1603.0	378.0	771.0	131.0	547.0	385.0	12.0	316.0	556.0	1885.0	2058.0	186.0	347.0	2003	1178
70	20031179	1.0	8.0	3.0	358.0	45.0	627.0	1356.0	444.0	609.0	153.0	566.0	414.0	20.0	231.0	481.0	1946.0	1785.0	109.0	403.0	2003	1179
71	20031180	6.0	18.0	8.0	427.0	134.0	708.0	1656.0	538.0	713.0	185.0	563.0	379.0	11.0	320.0	529.0	1891.0	1990.0	213.0	394.0	2003	1180
72	20031181	60.0	24.0	10.0	415.0	154.0	693.0	1810.0	618.0	821.0	220.0	842.0	597.0	6.0	413.0	638.0	2112.0	2459.0	255.0	421.0	2003	1181
73	20031182	0.0	9.0	2.0	377.0	108.0	665.0	1585.0	464.0	705.0	170.0	611.0	421.0	21.0	326.0	584.0	2201.0	2001.0	201.0	568.0	2003	1182
74	20031183	4.0	13.0	5.0	452.0	57.0	640.0	1733.0	499.0	771.0	189.0	564.0	431.0	15.0	339.0	550.0	2197.0	2162.0	179.0	363.0	2003	1183
75	20031184	0.0	7.0	3.0	341.0	60.0	513.0	1435.0	405.0	642.0	132.0	542.0	376.0	17.0	280.0	550.0	1935.0	1792.0	188.0	356.0	2003	1184
76	20031185	6.0	12.0	5.0	383.0	82.0	632.0	1508.0	410.0	695.0	125.0	750.0	483.0	14.0	329.0	566.0	2074.0	1998.0	157.0	395.0	2003	1185
77	20031186	0.0	17.0	5.0	429.0	79.0	663.0	1485.0	387.0	693.0	136.0	691.0	507.0	12.0	272.0	623.0	1922.0	2029.0	223.0	494.0	2003	1186
78	20031187	14.0	10.0	1.0	298.0	91.0	619.0	1404.0	394.0	568.0	106.0	482.0	333.0	15.0	321.0	433.0	1648.0	1575.0	119.0	320.0	2003	1187
79	20031189	1.0	10.0	5.0	279.0	64.0	514.0	1355.0	349.0	573.0	113.0	457.0	301.0	15.0	323.0	487.0	1711.0	1560.0	180.0	405.0	2003	1189
80	20031190	1.0	17.0	8.0	379.0	142.0	649.0	1658.0	410.0	758.0	141.0	670.0	495.0	10.0	378.0	527.0	2092.0	2152.0	289.0	506.0	2003	1190
81	20031191	19.0	12.0	4.0	441.0	95.0	646.0	1386.0	419.0	670.0	164.0	625.0	456.0	16.0	246.0	557.0	2063.0	1960.0	151.0	446.0	2003	1191
82	20031192	4.0	15.0	6.0	407.0	68.0	617.0	1685.0	699.0	737.0	246.0	548.0	386.0	14.0	292.0	558.0	2153.0	2106.0	174.0	423.0	2003	1192
83	20031193	9.0	19.0	7.0	385.0	160.0	768.0	1626.0	387.0	721.0	128.0	760.0	549.0	11.0	354.0	609.0	2082.0	2119.0	228.0	514.0	2003	1193
84	20031194	0.0	6.0	1.0	330.0	94.0	582.0	1729.0	522.0	679.0	175.0	497.0	332.0	21.0	388.0	630.0	2091.0	1865.0	245.0	449.0	2003	1194
85	20031196	61.0	24.0	6.0	509.0	127.0	752.0	1752.0	686.0	835.0	269.0	587.0	414.0	7.0	335.0	524.0	2005.0	2353.0	241.0	415.0	2003	1196
86	20031197	0.0	17.0	8.0	326.0	61.0	709.0	1581.0	618.0	681.0	240.0	696.0	471.0	12.0	390.0	577.0	2081.0	2073.0	210.0	507.0	2003	1197
87	20031198	0.0	7.0	2.0	266.0	57.0	584.0	1462.0	338.0	596.0	104.0	624.0	381.0	21.0	384.0	538.0	1819.0	1677.0	217.0	444.0	2003	1198
88	20031199	14.0	14.0	3.0	404.0	130.0	696.0	1662.0	559.0	718.0	186.0	524.0	352.0	15.0	308.0	549.0	1930.0	1974.0	274.0	432.0	2003	1199
89	20031200	0.0	2.0		339.0	92.0	626.0	1572.0	575.0	648.0	192.0	521.0	322.0	26.0	321.0	591.0	2188.0	1810.0	208.0	489.0	2003	1200
90	20031201	4.0	20.0	5.0	413.0	124.0	681.0	1617.0	516.0	725.0	183.0	528.0	373.0	8.0	376.0	557.0	1870.0	2006.0	184.0	442.0	2003	1201
91	20031202	3.0	11.0	5.0	356.0	81.0	641.0	1568.0	479.0	654.0	157.0	495.0	342.0	17.0	355.0	489.0	1924.0	1807.0	194.0	415.0	2003	1202
92	20031203	10.0	12.0	4.0	385.0	92.0	660.0	1576.0	506.0	691.0	172.0	764.0	516.0	17.0	400.0	595.0	2085.0	2070.0	187.0	474.0	2003	1203
93	20031204	4.0	13.0	5.0	354.0	96.0	596.0	1569.0	450.0	720.0	160.0	569.0	365.0	13.0	351.0	505.0	2021.0	1965.0	192.0	411.0	2003	1204
94	20031205	0.0	4.0	2.0	432.0	83.0	721.0	1784.0	745.0	705.0	223.0	356.0	249.0	24.0	351.0	516.0	2097.0	1882.0	189.0	461.0	2003	1205
95	20031206	6.0	16.0	5.0	328.0	62.0	657.0	1508.0	411.0	638.0	125.0	579.0	393.0	12.0	362.0	474.0	1694.0	1794.0	213.0	439.0	2003	1206
96	20031207	0.0	15.0	5.0	450.0	183.0	740.0	1782.0	415.0	766.0	136.0	743.0	545.0	14.0	407.0	644.0	2024.0	2213.0	275.0	462.0	2003	1207
97	20031208	94.0	19.0	6.0	484.0	118.0	664.0	1659.0	476.0	770.0	181.0	584.0	417.0	8.0	346.0	464.0	1976.0	2138.0	206.0	312.0	2003	1208
98	20031209	0.0	13.0	4.0	372.0	138.0	621.0	1646.0	511.0	746.0	171.0	545.0	387.0	15.0	322.0	480.0	2057.0	2050.0	213.0	407.0	2003	1209
99	20031210	22.0	14.0	3.0	436.0	150.0	693.0	1695.0	458.0	757.0	159.0	592.0	401.0	14.0	393.0	520.0	1949.0	2074.0	226.0	425.0	2003	1210
100	20031211	28.0	23.0	7.0	488.0	109.0	785.0	1719.0	591.0	808.0	222.0	764.0	551.0	8.0	370.0	578.0	2114.0	2389.0	211.0	451.0	2003	1211
101	20031212	1.0	10.0	4.0	373.0	111.0	714.0	1748.0	509.0	739.0	174.0	485.0	339.0	18.0	307.0	551.0	2259.0	1991.0	153.0	455.0	2003	1212
102	20031214	0.0	19.0	8.0	439.0	111.0	704.0	1674.0	554.0	760.0	178.0	675.0	446.0	11.0	380.0	679.0	2064.0	2144.0	253.0	531.0	2003	1214
103	20031216	2.0	15.0	6.0	337.0	65.0	632.0	1565.0	414.0	653.0	139.0	567.0	361.0	13.0	389.0	526.0	1805.0	1806.0	203.0	392.0	2003	1216
104	20031217	1.0	11.0	2.0	401.0	62.0	645.0	1546.0	546.0	661.0	202.0	460.0	312.0	15.0	336.0	530.0	1892.0	1836.0	194.0	440.0	2003	1217
105	20031218	9.0	18.0	5.0	471.0	90.0	652.0	1592.0	438.0	723.0	153.0	620.0	426.0	11.0	333.0	518.0	1936.0	2025.0	197.0	427.0	2003	1218
106	20031219	0.0	7.0	1.0	321.0	54.0	580.0	1519.0	438.0	674.0	146.0	549.0	356.0	20.0	323.0	493.0	2022.0	1850.0	200.0	437.0	2003	1219
107	20031220	0.0	8.0	3.0	379.0	85.0	743.0	1669.0	615.0	679.0	198.0	515.0	303.0	21.0	435.0	584.0	2048.0	1859.0	152.0	536.0	2003	1220
108	20031221	1.0	25.0	10.0	447.0	130.0	705.0	1529.0	428.0	702.0	154.0	642.0	453.0	4.0	350.0	533.0	1688.0	2011.0	231.0	404.0	2003	1221
109	20031222	0.0	8.0	2.0	302.0	124.0	727.0	1478.0	514.0	596.0	156.0	429.0	283.0	20.0	327.0	465.0	1854.0	1631.0	146.0	488.0	2003	1222
110	20031224	0.0	13.0	7.0	335.0	83.0	613.0	1796.0	517.0	780.0	180.0	663.0	456.0	17.0	425.0	576.0	2185.0	2196.0	240.0	456.0	2003	1224
111	20031225	2.0	12.0	5.0	325.0	81.0	615.0	1450.0	442.0	596.0	146.0	474.0	333.0	15.0	320.0	450.0	1716.0	1671.0	160.0	372.0	2003	1225
112	20031226	0.0	13.0	4.0	385.0	92.0	609.0	1575.0	437.0	698.0	148.0	562.0	362.0	14.0	304.0	537.0	1922.0	1906.0	217.0	404.0	2003	1226
113	20031227	11.0	21.0	7.0	477.0	96.0	706.0	1695.0	451.0	808.0	186.0	646.0	386.0	8.0	392.0	564.0	1999.0	2188.0	179.0	363.0	2003	1227
114	20031228	61.0	24.0	9.0	548.0	93.0	762.0	1674.0	605.0	813.0	223.0	573.0	414.0	6.0	292.0	574.0	1842.0	2263.0	210.0	395.0	2003	1228
115	20031229	0.0	8.0	5.0	334.0	70.0	613.0	1554.0	427.0	687.0	188.0	442.0	311.0	21.0	283.0	548.0	2035.0	1873.0	179.0	431.0	2003	1229
116	20031231	40.0	20.0	6.0	442.0	171.0	820.0	1758.0	692.0	750.0	241.0	724.0	516.0	12.0	359.0	578.0	2144.0	2257.0	142.0	368.0	2003	1231
117	20031232	0.0	7.0	2.0	381.0	86.0	646.0	1636.0	434.0	644.0	150.0	454.0	311.0	24.0	308.0	570.0	2038.0	1749.0	202.0	413.0	2003	1232
118	20031233	5.0	17.0	6.0	477.0	126.0	702.0	1645.0	453.0	758.0	166.0	687.0	492.0	12.0	323.0	591.0	2073.0	2174.0	238.0	445.0	2003	1233
119	20031234	27.0	15.0	4.0	405.0	112.0	701.0	1516.0	467.0	679.0	134.0	634.0	455.0	13.0	317.0	496.0	1868.0	1947.0	186.0	421.0	2003	1234
120	20031235	18.0	15.0	4.0	332.0	154.0	711.0	1617.0	415.0	737.0	160.0	497.0	337.0	13.0	316.0	522.0	1868.0	1971.0	154.0	380.0	2003	1235
121	20031236	1.0	9.0	4.0	393.0	88.0	675.0	1592.0	595.0	678.0	199.0	602.0	422.0	20.0	266.0	567.0	2214.0	1977.0	232.0	460.0	2003	1236
122	20031237	0.0	19.0	8.0	428.0	58.0	669.0	1726.0	595.0	782.0	208.0	724.0	508.0	13.0	374.0	619.0	2253.0	2280.0	262.0	509.0	2003	1237
123	20031238	3.0	10.0	6.0	367.0	71.0	657.0	1625.0	555.0	670.0	182.0	658.0	450.0	18.0	285.0	622.0	2085.0	1972.0	277.0	451.0	2003	1238
124	20031239	1.0	12.0	3.0	331.0	146.0	658.0	1547.0	435.0	671.0	134.0	545.0	360.0	16.0	341.0	462.0	1956.0	1836.0	188.0	480.0	2003	1239
125	20031240	0.0	19.0	7.0	441.0	76.0	618.0	1697.0	601.0	768.0	225.0	611.0	414.0	10.0	362.0	615.0	2087.0	2175.0	277.0	430.0	2003	1240
126	20031241	0.0	12.0	5.0	370.0	148.0	668.0	1620.0	550.0	695.0	182.0	532.0	357.0	17.0	332.0	579.0	1996.0	1929.0	171.0	435.0	2003	1241
127	20031242	73.0	23.0	9.0	502.0	147.0	807.0	1869.0	424.0	907.0	144.0	724.0	482.0	7.0	429.0	501.0	1991.0	2440.0	304.0	447.0	2003	1242
128	20031243	7.0	13.0	2.0	462.0	109.0	771.0	1674.0	468.0	766.0	169.0	617.0	388.0	17.0	341.0	538.0	1985.0	2089.0	148.0	397.0	2003	1243
129	20031245	6.0	20.0	5.0	408.0	55.0	688.0	1619.0	537.0	789.0	215.0	602.0	429.0	9.0	308.0	585.0	2083.0	2222.0	189.0	374.0	2003	1245
130	20031246	121.0	29.0	12.0	518.0	163.0	773.0	1869.0	531.0	911.0	189.0	665.0	470.0	3.0	412.0	556.0	2051.0	2481.0	250.0	450.0	2003	1246
131	20031247	0.0	12.0	4.0	331.0	60.0	655.0	1650.0	551.0	655.0	183.0	668.0	488.0	17.0	378.0	612.0	2071.0	1981.0	184.0	416.0	2003	1247
132	20031248	0.0	11.0	4.0	361.0	103.0	636.0	1419.0	520.0	629.0	185.0	483.0	342.0	16.0	255.0	435.0	1864.0	1785.0	140.0	379.0	2003	1248
133	20031249	0.0	12.0	4.0	275.0	120.0	676.0	1360.0	437.0	578.0	149.0	559.0	380.0	14.0	291.0	476.0	1714.0	1685.0	161.0	462.0	2003	1249
134	20031250	0.0	14.0	3.0	312.0	79.0	626.0	1356.0	391.0	581.0	137.0	495.0	361.0	12.0	265.0	490.0	1659.0	1660.0	184.0	366.0	2003	1250
135	20031251	1.0	14.0	5.0	328.0	88.0	702.0	1513.0	530.0	609.0	160.0	706.0	522.0	15.0	335.0	584.0	2016.0	1900.0	250.0	527.0	2003	1251
136	20031252	0.0	6.0	2.0	342.0	86.0	640.0	1355.0	521.0	588.0	199.0	645.0	470.0	18.0	248.0	461.0	1973.0	1845.0	97.0	412.0	2003	1252
137	20031253	0.0	4.0	2.0	306.0	68.0	529.0	1291.0	460.0	555.0	150.0	518.0	367.0	22.0	253.0	505.0	1940.0	1627.0	117.0	445.0	2003	1253
138	20031254	2.0	9.0	3.0	401.0	61.0	722.0	1764.0	535.0	772.0	165.0	582.0	393.0	19.0	415.0	586.0	2268.0	2102.0	184.0	484.0	2003	1254
139	20031256	4.0	10.0	5.0	279.0	80.0	600.0	1436.0	358.0	606.0	121.0	531.0	369.0	15.0	312.0	506.0	1810.0	1702.0	135.0	352.0	2003	1256
140	20031257	62.0	24.0	8.0	498.0	142.0	753.0	1825.0	702.0	839.0	253.0	753.0	524.0	6.0	396.0	680.0	2054.0	2455.0	216.0	401.0	2003	1257
141	20031258	9.0	11.0	4.0	431.0	123.0	654.0	1702.0	395.0	728.0	121.0	753.0	534.0	19.0	359.0	669.0	2209.0	2111.0	235.0	482.0	2003	1258
142	20031259	0.0	4.0		267.0	74.0	618.0	1377.0	472.0	543.0	150.0	608.0	417.0	24.0	280.0	512.0	2017.0	1653.0	155.0	489.0	2003	1259
143	20031260	5.0	15.0	6.0	367.0	124.0	731.0	1949.0	642.0	819.0	197.0	652.0	474.0	16.0	457.0	643.0	2314.0	2309.0	225.0	434.0	2003	1260
144	20031261	57.0	21.0	9.0	508.0	129.0	760.0	1707.0	545.0	831.0	209.0	616.0	399.0	10.0	329.0	507.0	1950.0	2270.0	248.0	430.0	2003	1261
145	20031263	0.0	12.0	5.0	439.0	157.0	737.0	1555.0	553.0	744.0	199.0	458.0	300.0	16.0	306.0	480.0	1953.0	1987.0	202.0	500.0	2003	1263
146	20031264	0.0	23.0	6.0	402.0	113.0	676.0	1669.0	459.0	752.0	160.0	693.0	545.0	6.0	328.0	636.0	1965.0	2209.0	266.0	412.0	2003	1264
147	20031265	3.0	13.0	5.0	402.0	103.0	688.0	1714.0	610.0	701.0	225.0	568.0	442.0	16.0	318.0	488.0	2150.0	2069.0	199.0	390.0	2003	1265
148	20031266	58.0	23.0	8.0	457.0	102.0	674.0	1575.0	427.0	762.0	162.0	661.0	509.0	5.0	367.0	522.0	1895.0	2195.0	168.0	380.0	2003	1266
149	20031267	0.0	13.0	5.0	386.0	103.0	663.0	1488.0	486.0	697.0	176.0	574.0	444.0	15.0	235.0	542.0	2017.0	2014.0	169.0	403.0	2003	1267
150	20031268	47.0	19.0	5.0	529.0	185.0	749.0	1774.0	475.0	824.0	189.0	604.0	425.0	9.0	385.0	532.0	1872.0	2262.0	305.0	395.0	2003	1268
151	20031269	8.0	10.0	3.0	393.0	106.0	601.0	1450.0	520.0	623.0	156.0	501.0	318.0	18.0	299.0	547.0	1874.0	1720.0	169.0	440.0	2003	1269
